# num asns 1125
# squat_asn squat_dod_ip
33363 7.35.134.1
264825 11.16.2.1
5432 22.107.117.0
45102 11.56.8.77
62044 7.25.224.4
55039 7.6.5.9
5432 22.107.229.0
812 7.11.168.245
135700 11.11.11.0
63888 22.0.0.1
22927 11.111.111.0
45102 11.52.132.129
29695 11.8.8.1
5432 22.106.37.0
262296 11.11.11.11
4847 11.22.97.27
17639 7.12.6.1
8075 22.28.139.1
14051 7.0.255.0
9321 11.168.1.1
37611 11.0.0.3
138336 11.0.0.1
139351 11.0.0.1
45769 11.11.11.1
5432 22.107.135.241
4134 11.56.8.2
5432 22.107.113.161
55990 11.94.132.100
13208 7.32.119.1
8400 11.11.193.1
1221 11.200.1.240
4808 11.16.2.150
26133 11.200.160.1
266345 11.1.6.12
27775 11.11.11.1
20115 22.40.226.1
52330 11.0.12.2
812 7.11.168.25
18002 11.107.1.1
7713 11.11.9.0
5432 22.107.154.0
7713 11.22.22.0
6939 11.11.11.0
18229 11.11.103.1
7922 11.0.100.1
8003 11.28.30.0
1221 22.163.91.1
136907 11.22.17.0
45102 11.89.122.118
45102 11.202.21.17
45102 11.53.144.0
812 7.11.168.197
4808 11.143.3.0
37963 11.220.5.134
201984 22.107.178.221
33651 11.187.15.165
7922 11.104.55.225
56046 11.100.24.0
701 11.104.55.81
20207 11.11.11.0
7713 22.22.22.1
20115 22.20.170.0
20115 22.55.96.0
37963 11.168.216.0
58945 11.11.8.1
6848 7.73.104.1
131232 11.164.12.5
5432 22.107.85.150
3303 11.0.0.1
133524 11.11.12.99
9299 11.11.11.71
812 7.11.168.117
7922 11.104.113.161
4761 11.19.214.0
327907 11.11.11.0
9299 11.200.100.1
48744 7.7.7.1
23316 11.104.36.17
5432 22.106.48.249
56046 11.100.1.37
812 7.11.166.1
5432 22.106.98.201
5432 22.107.153.174
45102 11.57.187.0
55990 11.88.192.115
20115 22.40.110.1
265535 11.60.11.1
41750 11.96.40.1
4808 11.33.232.0
138001 11.11.16.0
4847 11.52.240.0
8427 11.11.11.1
11351 11.100.0.2
812 7.11.166.65
3269 11.0.0.236
7922 7.171.230.129
5432 22.106.45.0
701 11.104.127.217
5432 22.107.17.0
7922 11.66.0.22
209 7.45.0.17
4808 11.52.240.18
7922 11.0.0.1
20115 22.24.35.0
812 7.11.165.61
18403 11.20.20.1
8075 22.10.107.1
8075 22.106.32.213
12271 11.56.240.89
33363 11.104.106.113
49117 11.12.1.1
24547 11.11.11.1
28191 11.0.1.0
5432 22.106.34.0
18734 11.43.45.254
6181 7.100.164.2
137889 11.33.27.1
24835 22.22.22.0
812 7.11.168.209
812 7.11.167.129
10796 7.179.74.129
3302 11.1.164.1
22773 11.104.106.41
8445 11.211.50.254
58504 11.11.11.1
8003 11.1.32.0
7018 11.200.160.1
812 7.11.168.193
4134 11.207.18.57
4134 11.56.8.0
36937 7.2.6.3
812 7.11.170.177
23688 11.11.11.0
7922 11.104.202.241
25019 11.0.1.1
4837 11.12.20.1
58966 11.80.18.1
37963 11.220.159.0
812 7.11.168.233
28226 11.100.0.2
12399 11.4.46.22
812 7.11.166.197
9808 11.0.0.0
56043 11.48.27.0
262186 11.75.75.0
45102 11.206.51.145
2611 22.107.165.158
28005 7.84.104.1
4134 11.52.240.121
6147 11.0.6.0
3320 11.12.13.1
4134 22.0.0.0
45102 11.217.0.34
18881 11.0.0.180
4808 11.145.1.0
45102 11.56.8.53
270996 11.0.0.1
12400 11.0.0.0
812 7.11.171.97
4800 11.11.11.253
15247 11.36.12.174
62044 11.10.0.1
8151 11.0.100.0
29467 22.107.8.93
35549 11.128.0.17
7018 11.202.64.1
10834 22.4.192.249
3356 11.209.8.0
174 11.193.64.133
8339 11.0.0.1
10029 11.244.99.201
9121 22.0.0.1
3816 11.11.11.0
15502 11.153.103.1
52280 11.11.1.1
701 11.66.31.254
812 7.11.165.237
18666 11.0.0.1
11419 11.0.0.1
5432 22.107.235.0
20207 11.0.0.0
11427 7.46.91.41
9299 11.0.3.253
9930 11.11.11.1
5432 22.107.238.25
3356 11.101.0.2
40788 11.212.134.200
4808 11.94.4.28
6400 11.11.1.0
45102 11.56.8.2
5432 22.107.66.157
3902 11.173.164.2
22616 11.56.108.1
5432 22.106.67.162
33363 11.144.32.2
5432 22.106.37.45
4134 11.96.216.0
45102 11.89.122.86
20115 22.20.176.1
45102 11.204.180.170
45102 11.103.172.0
5432 22.107.192.233
264825 11.14.2.0
135477 11.11.11.0
32257 11.11.11.11
209 11.0.0.6
45102 11.52.252.61
2539 11.65.16.2
6400 7.7.2.1
5432 22.106.69.0
40154 11.96.200.2
37963 11.204.35.50
9381 11.11.0.1
5432 22.106.44.0
9595 11.0.1.1
3741 11.88.212.1
37963 11.222.253.0
264030 11.0.0.1
5432 22.106.103.5
22884 11.11.12.1
45102 11.207.18.9
3549 11.12.216.101
45102 11.52.236.129
5432 22.106.49.121
16629 11.11.11.0
59164 11.11.110.1
1680 11.0.0.69
5432 22.107.169.101
16086 11.0.0.1
45102 11.207.166.102
25019 11.11.101.1
701 11.104.35.185
8003 11.29.37.0
4808 11.11.167.0
7922 11.1.5.1
18734 11.254.47.253
14115 22.248.161.144
53231 11.150.0.1
812 7.11.169.201
11845 7.22.8.1
15169 7.7.7.3
23089 11.1.11.1
812 7.11.170.17
199276 11.11.11.0
16194 22.106.121.0
8048 11.27.10.0
59164 11.11.128.1
8003 11.211.0.0
4837 11.52.240.0
5432 22.106.33.0
37009 11.125.65.1
37963 11.219.78.0
37963 11.93.197.0
28118 11.11.11.1
27951 11.11.11.1
138059 11.120.1.1
20115 22.20.172.0
55990 11.94.132.17
4837 11.131.78.41
9808 11.255.153.1
8003 11.30.0.0
45102 11.52.252.57
577 11.101.5.5
30873 7.7.7.7
27843 11.11.11.1
4808 22.22.22.0
3302 11.1.106.0
45806 11.10.204.1
3302 11.1.172.0
5432 22.107.222.33
37963 11.218.123.29
8151 11.0.118.1
47377 22.106.36.221
17996 11.11.37.0
5432 22.107.66.0
9299 11.242.196.1
4812 22.1.19.100
5432 22.106.31.149
4134 22.22.22.0
62802 11.16.1.253
8151 7.10.0.1
18539 22.4.6.0
17557 11.22.11.0
268899 11.0.1.0
8075 22.107.197.65
4808 11.177.65.46
7018 11.128.1.0
4134 22.12.0.0
5432 22.106.67.185
23674 11.1.0.0
7470 11.11.11.1
21724 11.28.13.210
5432 22.107.78.65
136654 11.112.112.0
45102 11.48.200.38
7018 7.0.50.12
11427 11.104.85.193
20115 11.104.117.1
812 7.11.168.57
12874 11.100.0.2
4134 22.9.0.0
812 7.11.166.193
45102 11.96.216.165
4134 22.13.0.0
4713 7.40.160.1
33588 22.7.240.1
56043 11.81.219.3
5432 22.106.50.0
132652 11.11.11.0
29467 22.107.2.165
7922 11.11.11.11
9299 11.11.14.0
2856 11.0.0.138
56044 11.11.11.0
138536 11.22.44.1
812 7.11.168.65
37963 11.220.129.0
25019 11.40.0.1
30873 7.7.6.1
5432 22.107.13.85
20294 7.7.0.1
137432 11.45.0.1
140384 11.11.11.1
132203 22.0.0.1
18229 11.11.11.1
9808 11.204.20.162
28680 11.12.89.1
5432 22.107.19.77
20115 22.55.16.1
3067 11.67.113.1
12849 11.104.51.249
3356 11.81.57.0
199706 11.12.144.3
701 11.0.1.0
4808 22.10.0.1
5432 22.107.181.49
43205 11.0.0.1
3257 7.188.192.21
16232 11.12.13.1
22616 7.255.0.17
45102 11.52.132.82
5432 22.107.154.169
3209 11.22.33.1
24444 11.168.117.1
6799 11.0.1.1
3209 11.0.0.1
22616 7.255.0.21
4847 11.1.0.0
7738 11.0.0.1
264668 11.2.0.0
5432 22.106.18.249
13999 11.11.11.0
13119 11.11.118.15
136907 11.243.47.1
6939 11.12.111.1
4134 11.0.0.1
4773 11.47.10.1
812 7.11.166.213
56046 11.22.97.55
5432 22.107.208.249
3302 11.1.22.0
11776 11.7.1.1
7018 11.0.1.254
4766 11.12.13.1
55430 11.11.37.1
4837 11.10.1.0
5432 22.107.231.0
6739 11.40.11.3
9341 11.0.0.1
4812 11.147.104.51
6830 11.99.99.99
9318 11.11.0.1
7922 11.21.7.1
22773 11.11.11.1
4800 11.11.2.1
3257 7.41.64.1
5432 22.106.18.0
5432 22.106.42.0
20115 22.28.145.1
24444 11.164.250.0
264556 11.1.5.0
15247 11.1.7.18
62802 11.48.0.90
11686 11.11.11.36
38019 11.1.1.0
26210 22.12.22.1
5432 22.107.171.0
20115 22.55.126.1
4808 11.94.132.17
262259 11.0.27.1
11272 11.15.104.1
45899 11.11.11.2
33588 22.10.99.1
136907 11.245.32.2
8048 11.0.0.33
8437 11.0.10.100
21724 11.40.0.125
6830 7.0.0.200
6848 22.107.121.0
27947 11.22.99.1
15435 11.11.11.1
7018 11.85.100.1
5432 22.107.203.0
58466 11.88.64.111
5432 22.107.13.86
10075 7.8.9.1
10837 11.254.0.1
174 11.4.25.1
15895 11.140.0.100
22616 7.11.165.225
5432 22.106.82.185
45102 11.52.236.77
9299 11.100.10.1
7713 11.43.3.1
7922 11.35.192.1
37963 11.220.129.129
9299 11.11.11.0
5432 22.107.115.154
45102 11.16.2.146
13110 11.11.0.1
3320 11.11.11.1
1267 11.1.222.0
135700 11.67.120.1
7403 11.1.1.1
33363 11.11.11.1
812 7.11.171.9
4837 11.1.4.140
5400 22.107.15.0
5432 22.106.49.0
4766 7.7.21.0
5432 22.106.81.0
5432 22.107.201.0
812 7.11.171.37
4837 11.100.18.0
13999 11.5.50.1
8075 22.106.24.0
10796 7.174.144.129
4837 11.1.1.1
5432 22.107.80.205
7922 11.104.196.225
27980 11.0.0.1
136907 11.22.80.139
138089 11.12.13.0
5432 22.106.112.41
7922 11.0.0.2
7713 11.1.79.1
207492 11.41.0.0
328676 11.11.11.1
51038 11.11.12.9
5713 7.2.32.195
56242 11.27.204.25
5432 22.107.253.145
8047 7.7.7.1
3320 11.42.88.1
7713 11.11.18.0
7713 11.16.250.0
133647 22.22.22.0
263737 11.0.0.250
45102 11.52.231.1
134542 11.205.17.2
11272 11.10.100.0
25019 11.11.104.1
136907 11.22.16.5
37963 11.201.251.9
701 7.7.7.1
6128 11.145.1.1
812 7.11.169.133
23860 7.7.7.7
6739 11.10.0.1
3549 11.148.220.254
27947 11.11.115.1
58466 11.88.64.113
22773 11.19.10.1
5432 22.107.103.0
4837 11.27.53.0
47377 22.106.36.222
262186 11.0.0.1
37963 11.219.77.162
701 11.10.10.254
812 7.11.169.21
8151 11.5.50.1
5432 22.107.91.93
5432 22.107.102.241
18046 11.205.0.1
701 11.20.74.1
8003 11.9.41.0
135553 11.11.11.2
56040 22.36.130.4
7018 11.104.204.1
8003 11.254.0.0
20115 22.33.112.1
39288 11.0.0.1
62044 7.17.77.1
3257 7.101.65.45
577 22.22.22.1
12430 11.100.0.2
5432 22.106.3.0
701 11.66.0.37
138131 11.111.1.0
2119 11.0.0.1
37963 11.0.50.17
8551 11.4.0.1
4755 11.11.11.0
22566 11.4.10.254
5466 11.153.32.254
812 7.11.169.81
4837 11.100.0.253
45102 11.109.220.0
204974 11.11.11.1
45102 11.207.18.121
8075 22.107.165.0
5432 22.107.87.0
55990 11.94.132.0
8003 11.110.4.0
10429 11.0.0.6
34244 11.0.0.1
10796 11.229.60.1
18046 11.206.0.1
45102 11.48.160.6
264659 11.11.11.0
7018 11.104.72.177
7018 7.2.1.6
12083 11.20.30.1
