,#Field:count,sourceIPCount,endUserASN,which_data
142,92222,1,262570,tracerouteasncounts
143,134,9,262745,tracerouteasncounts
144,802,47,263541,tracerouteasncounts
145,144,30,263742,tracerouteasncounts
146,776,42,264117,tracerouteasncounts
147,145,45,264961,tracerouteasncounts
148,1118,101,265852,tracerouteasncounts
149,376,36,265858,tracerouteasncounts
150,236,38,266421,tracerouteasncounts
151,49,12,266991,tracerouteasncounts
152,621,50,267177,tracerouteasncounts
153,6,3,267404,tracerouteasncounts
154,47,16,268610,tracerouteasncounts
155,108,21,268646,tracerouteasncounts
156,125,69,268829,tracerouteasncounts
157,61,28,268913,tracerouteasncounts
158,24,3,269328,tracerouteasncounts
159,1,1,269358,tracerouteasncounts
160,477,28,270548,tracerouteasncounts
161,50,15,270570,tracerouteasncounts
162,97,20,271080,tracerouteasncounts
163,157,20,271094,tracerouteasncounts
164,1130,30,328106,tracerouteasncounts
165,1869,95,328510,tracerouteasncounts
166,444,4,328535,tracerouteasncounts
167,26,1,394157,tracerouteasncounts
168,149,1,395183,tracerouteasncounts
169,1047,1,395435,tracerouteasncounts
170,1003,2,395608,tracerouteasncounts
171,2794,11,395922,tracerouteasncounts
172,557,6,396015,tracerouteasncounts
173,12138,2,396522,tracerouteasncounts
174,5004,1,397037,tracerouteasncounts
175,330,4,397344,tracerouteasncounts
176,90,1,398409,tracerouteasncounts
177,178363,4,85,tracerouteasncounts
178,19056,81,1249,tracerouteasncounts
179,272,48,1483,tracerouteasncounts
180,631,11,2202,tracerouteasncounts
181,256,21,5484,tracerouteasncounts
182,13738,36,8393,tracerouteasncounts
183,97852,3,10194,tracerouteasncounts
184,16471,16,10913,tracerouteasncounts
185,312127,1023,11290,tracerouteasncounts
186,72564,2474,12897,tracerouteasncounts
187,2467,3,13160,tracerouteasncounts
188,20,1,13683,tracerouteasncounts
189,210,3,14169,tracerouteasncounts
190,775,1,14691,tracerouteasncounts
191,338,2,14746,tracerouteasncounts
192,398,6,15154,tracerouteasncounts
193,399052,182,15164,tracerouteasncounts
194,107885,187,15582,tracerouteasncounts
195,521,1,16715,tracerouteasncounts
196,28183,67,17379,tracerouteasncounts
197,321,1,17540,tracerouteasncounts
198,10215,144,17563,tracerouteasncounts
199,8018,3,17937,tracerouteasncounts
200,3406,160,18283,tracerouteasncounts
201,1423,5,19846,tracerouteasncounts
202,2,1,20487,tracerouteasncounts
203,3277,58,21196,tracerouteasncounts
204,5497,29,22040,tracerouteasncounts
205,7396,93,22163,tracerouteasncounts
206,961,66,22431,tracerouteasncounts
207,79123842,2957,22616,tracerouteasncounts
208,1711,29,22968,tracerouteasncounts
209,32101,2,23016,tracerouteasncounts
210,72,1,23274,tracerouteasncounts
211,46,2,23635,tracerouteasncounts
212,3493,24,23666,tracerouteasncounts
213,536,1,23766,tracerouteasncounts
214,208,2,24247,tracerouteasncounts
215,11,2,24336,tracerouteasncounts
216,4006,40,24559,tracerouteasncounts
217,1,1,25264,tracerouteasncounts
218,144786,3,25829,tracerouteasncounts
219,2042,20,25946,tracerouteasncounts
220,1,1,25967,tracerouteasncounts
221,9046,49,26097,tracerouteasncounts
222,1680,20,27409,tracerouteasncounts
223,10,3,28085,tracerouteasncounts
224,49920,541,28760,tracerouteasncounts
225,1149,3,29419,tracerouteasncounts
226,3112,8,29657,tracerouteasncounts
227,141,1,29717,tracerouteasncounts
228,288109,2,30347,tracerouteasncounts
229,119797,4,31816,tracerouteasncounts
230,234,13,32291,tracerouteasncounts
231,187,2,33060,tracerouteasncounts
232,632,1,33398,tracerouteasncounts
233,7449,509,33765,tracerouteasncounts
234,347,4,33964,tracerouteasncounts
235,431,1,33990,tracerouteasncounts
236,492,24,34917,tracerouteasncounts
237,45,1,35123,tracerouteasncounts
238,2345,6,35637,tracerouteasncounts
239,23556,32,36180,tracerouteasncounts
240,7,3,38117,tracerouteasncounts
241,286,19,38547,tracerouteasncounts
242,2,1,39398,tracerouteasncounts
243,365,4,39422,tracerouteasncounts
244,86,3,40038,tracerouteasncounts
245,146,3,41014,tracerouteasncounts
246,3617,48,41931,tracerouteasncounts
247,4157,133,42155,tracerouteasncounts
248,36,1,43328,tracerouteasncounts
249,266,1,43498,tracerouteasncounts
250,133,4,44524,tracerouteasncounts
251,775,8,44575,tracerouteasncounts
252,754,4,44585,tracerouteasncounts
253,228,4,44979,tracerouteasncounts
254,24241,465,45235,tracerouteasncounts
255,1,1,45972,tracerouteasncounts
256,20,2,46134,tracerouteasncounts
257,1249,12,46445,tracerouteasncounts
258,102,2,46696,tracerouteasncounts
259,6322,3,47411,tracerouteasncounts
260,1,1,48060,tracerouteasncounts
261,933,14,48082,tracerouteasncounts
262,29,1,48546,tracerouteasncounts
263,1021,107,48624,tracerouteasncounts
264,4024,35,50661,tracerouteasncounts
265,8,1,51450,tracerouteasncounts
266,2427,7,51590,tracerouteasncounts
267,246,77,52455,tracerouteasncounts
268,1863,83,52909,tracerouteasncounts
269,989,70,53003,tracerouteasncounts
270,129,6,53119,tracerouteasncounts
271,428,1,54034,tracerouteasncounts
272,3850,1,54977,tracerouteasncounts
273,6336,1,55210,tracerouteasncounts
274,626,4,56572,tracerouteasncounts
275,266,1,56661,tracerouteasncounts
276,4,1,56695,tracerouteasncounts
277,3833,382,58056,tracerouteasncounts
278,10,1,60005,tracerouteasncounts
279,1459,7,60241,tracerouteasncounts
280,3222,27,61429,tracerouteasncounts
281,130,33,61847,tracerouteasncounts
282,3870,7,62011,tracerouteasncounts
283,1910,1,62996,tracerouteasncounts
284,2251,34,131444,tracerouteasncounts
285,5783,10,132113,tracerouteasncounts
286,181,6,133155,tracerouteasncounts
287,4751,196,134341,tracerouteasncounts
288,609,26,134853,tracerouteasncounts
289,605,48,134936,tracerouteasncounts
290,191,6,135256,tracerouteasncounts
291,4817,74,137098,tracerouteasncounts
292,288,17,137374,tracerouteasncounts
293,2443,12,138317,tracerouteasncounts
294,83,12,138891,tracerouteasncounts
295,346,6,139319,tracerouteasncounts
296,43057,1,141229,tracerouteasncounts
297,282,5,141474,tracerouteasncounts
298,353,1,197052,tracerouteasncounts
299,143,5,197588,tracerouteasncounts
300,3382,21,197898,tracerouteasncounts
301,336,1,198838,tracerouteasncounts
302,5432,1,199105,tracerouteasncounts
303,54,1,199235,tracerouteasncounts
304,619,2,200374,tracerouteasncounts
305,117,12,201234,tracerouteasncounts
306,172,11,201274,tracerouteasncounts
307,732,6,201893,tracerouteasncounts
308,4127,2,203602,tracerouteasncounts
309,50,2,203685,tracerouteasncounts
310,767,4,204445,tracerouteasncounts
311,435,1,204772,tracerouteasncounts
312,113,1,205079,tracerouteasncounts
313,1582,3,206490,tracerouteasncounts
314,77,33,206496,tracerouteasncounts
315,439,2,206595,tracerouteasncounts
316,204,4,208017,tracerouteasncounts
317,33,14,209711,tracerouteasncounts
318,25,1,262269,tracerouteasncounts
319,274,80,262376,tracerouteasncounts
320,1444,50,262457,tracerouteasncounts
321,619,49,262671,tracerouteasncounts
322,1160,114,262715,tracerouteasncounts
323,244,24,262815,tracerouteasncounts
324,7,2,263186,tracerouteasncounts
325,207,31,263305,tracerouteasncounts
