,AS,# of source IP,# of Traceroutes,Type,Feature
9064,17995,13.0,51253,Squatted ASCone,ASCone
9065,22742,290.0,161753,Not Squatted ASCone,ASCone
9066,9340,1.0,15457,Squatted ASCone,ASCone
9067,49788,12.0,6088,Not Squatted ASCone,ASCone
9068,34977,2099.0,19963,Not Squatted ASCone,ASCone
9069,16347,7.0,252476,Squatted ASCone,ASCone
9070,39642,5862.0,509630,Not Squatted ASCone,ASCone
9071,12668,313.0,37941,Not Squatted ASCone,ASCone
9072,19332,3.0,27827,Squatted ASCone,ASCone
9073,28220,3958.0,28195,Not Squatted ASCone,ASCone
9074,56910,19.0,7550,Not Squatted ASCone,ASCone
9075,9230,8.0,21726,Squatted ASCone,ASCone
9076,17828,39.0,7066,Not Squatted ASCone,ASCone
9077,9070,308.0,21531,Not Squatted ASCone,ASCone
9078,17477,22.0,750205,Squatted ASCone,ASCone
9079,196695,26.0,10921,Not Squatted ASCone,ASCone
9080,49505,23.0,8712,Not Squatted ASCone,ASCone
9081,30688,97.0,55919,Not Squatted ASCone,ASCone
9082,12670,2.0,220356,Squatted ASCone,ASCone
9083,30496,45.0,116988,Not Squatted ASCone,ASCone
9084,200845,464.0,7212,Not Squatted ASCone,ASCone
9085,327693,49.0,33330,Not Squatted ASCone,ASCone
9086,4739,3.0,433282,Squatted ASCone,ASCone
9087,19429,6.0,1529443,Squatted ASCone,ASCone
9088,42781,299.0,22694,Not Squatted ASCone,ASCone
9089,38203,20.0,11440,Squatted ASCone,ASCone
9090,21453,278.0,13144,Not Squatted ASCone,ASCone
9091,36351,9.0,500311,Squatted ASCone,ASCone
9092,26744,153.0,17491,Not Squatted ASCone,ASCone
9093,28649,2097.0,54123,Not Squatted ASCone,ASCone
9094,16904,1.0,196557,Squatted ASCone,ASCone
9095,20811,1521.0,192234,Not Squatted ASCone,ASCone
9096,8517,7075.0,52119,Not Squatted ASCone,ASCone
9097,23930,52.0,7392,Not Squatted ASCone,ASCone
9098,7670,356.0,83184,Not Squatted ASCone,ASCone
9099,39912,252.0,8010,Not Squatted ASCone,ASCone
9100,60587,27.0,11132,Not Squatted ASCone,ASCone
9101,8368,1.0,99634,Squatted ASCone,ASCone
9102,263966,170.0,6273,Not Squatted ASCone,ASCone
9103,46562,1.0,67964,Squatted ASCone,ASCone
9104,10430,477.0,322411,Not Squatted ASCone,ASCone
9105,11081,2.0,34413,Squatted ASCone,ASCone
9106,19019,26.0,362616,Not Squatted ASCone,ASCone
9107,8426,1.0,611634,Squatted ASCone,ASCone
9108,17917,1.0,107924,Squatted ASCone,ASCone
9109,31200,757.0,57617,Not Squatted ASCone,ASCone
9110,28669,1.0,135707,Squatted ASCone,ASCone
9111,7122,2421.0,757193,Not Squatted ASCone,ASCone
9112,29909,14.0,9633,Not Squatted ASCone,ASCone
9113,55140,141.0,44900,Not Squatted ASCone,ASCone
9114,28884,36.0,6407,Not Squatted ASCone,ASCone
9115,6703,200.0,13741,Not Squatted ASCone,ASCone
9116,11830,17.0,1342921,Squatted ASCone,ASCone
9117,803,3.0,1039458,Squatted ASCone,ASCone
9118,5078,255.0,153465,Not Squatted ASCone,ASCone
9119,34177,1.0,114183,Squatted ASCone,ASCone
9120,45769,5.0,310933,Squatted ASCone,ASCone
9121,10242,1.0,356857,Squatted ASCone,ASCone
9122,41722,8.0,11954,Not Squatted ASCone,ASCone
9123,8047,1.0,738085,Squatted ASCone,ASCone
9124,132770,19.0,118068,Squatted ASCone,ASCone
9125,6568,10.0,67857,Squatted ASCone,ASCone
9126,16245,412.0,25358,Not Squatted ASCone,ASCone
9127,50710,36.0,67817,Squatted ASCone,ASCone
9128,30733,30.0,8122,Not Squatted ASCone,ASCone
9129,197207,2.0,16004,Squatted ASCone,ASCone
9130,17223,1.0,136550,Squatted ASCone,ASCone
9131,12969,1155.0,238394,Not Squatted ASCone,ASCone
9132,27257,28.0,15726,Not Squatted ASCone,ASCone
9133,20928,1.0,20017,Squatted ASCone,ASCone
9134,17231,35.0,115144,Not Squatted ASCone,ASCone
9135,11845,4.0,580011,Squatted ASCone,ASCone
9136,7497,8.0,59641,Squatted ASCone,ASCone
9137,8365,270.0,6065,Not Squatted ASCone,ASCone
9138,53264,8.0,16622,Not Squatted ASCone,ASCone
9139,23473,1157.0,111327,Not Squatted ASCone,ASCone
9140,14638,3629.0,941814,Not Squatted ASCone,ASCone
9141,200044,3.0,33549,Not Squatted ASCone,ASCone
9142,53828,4.0,275408,Squatted ASCone,ASCone
9143,39010,4.0,45707,Squatted ASCone,ASCone
9144,36937,5.0,379465,Squatted ASCone,ASCone
9145,36874,446.0,55534,Not Squatted ASCone,ASCone
9146,21473,139.0,20159,Not Squatted ASCone,ASCone
9147,41998,2087.0,87189,Not Squatted ASCone,ASCone
9148,9824,5.0,1577026,Squatted ASCone,ASCone
9149,3479,1052.0,31785,Not Squatted ASCone,ASCone
9150,33922,102.0,11750,Not Squatted ASCone,ASCone
9151,9341,59.0,138927,Squatted ASCone,ASCone
9152,11051,7.0,26684,Not Squatted ASCone,ASCone
9153,29170,1.0,11441,Squatted ASCone,ASCone
9154,3816,7.0,1092085,Squatted ASCone,ASCone
9155,136557,22.0,9614,Squatted ASCone,ASCone
9156,37358,4.0,91744,Squatted ASCone,ASCone
9157,28287,709.0,5281,Not Squatted ASCone,ASCone
9158,6821,1.0,83861,Squatted ASCone,ASCone
9159,15706,425.0,42084,Not Squatted ASCone,ASCone
9160,24173,2.0,154329,Squatted ASCone,ASCone
9161,50923,182.0,8469,Not Squatted ASCone,ASCone
9162,16302,106.0,24370,Not Squatted ASCone,ASCone
9163,33965,89.0,27693,Not Squatted ASCone,ASCone
9164,50810,3104.0,16805,Not Squatted ASCone,ASCone
9165,47264,15.0,25471,Not Squatted ASCone,ASCone
9166,38264,12.0,27045,Squatted ASCone,ASCone
9167,20836,127.0,29638,Not Squatted ASCone,ASCone
9168,39405,24.0,13833,Not Squatted ASCone,ASCone
9169,58321,48.0,11948,Not Squatted ASCone,ASCone
9170,13489,15.0,1525180,Squatted ASCone,ASCone
9171,32440,39.0,12233,Not Squatted ASCone,ASCone
9172,9723,1.0,156349,Squatted ASCone,ASCone
9173,49981,1.0,8283,Squatted ASCone,ASCone
9174,23724,15.0,405583,Squatted ASCone,ASCone
9175,137,6018.0,53401,Not Squatted ASCone,ASCone
9176,15763,1182.0,52919,Not Squatted ASCone,ASCone
9177,15623,540.0,95069,Not Squatted ASCone,ASCone
9178,133001,71.0,44023,Squatted ASCone,ASCone
9179,42652,1.0,278913,Squatted ASCone,ASCone
9180,25233,160.0,114233,Not Squatted ASCone,ASCone
9181,18712,622.0,298612,Not Squatted ASCone,ASCone
9182,27696,1.0,80931,Squatted ASCone,ASCone
9183,51178,12.0,5438,Not Squatted ASCone,ASCone
9184,31126,2.0,19021,Squatted ASCone,ASCone
9185,9821,1.0,6159,Squatted ASCone,ASCone
9186,24955,294.0,56218,Not Squatted ASCone,ASCone
9187,47474,1.0,403212,Squatted ASCone,ASCone
9188,9534,18.0,1661155,Squatted ASCone,ASCone
9189,5645,2.0,1617643,Squatted ASCone,ASCone
9190,29614,5.0,124082,Squatted ASCone,ASCone
9191,8905,62.0,24832,Not Squatted ASCone,ASCone
9192,17841,1.0,16649,Squatted ASCone,ASCone
9193,9038,1922.0,73876,Not Squatted ASCone,ASCone
9194,133311,3.0,34326,Squatted ASCone,ASCone
9195,25144,3476.0,26043,Not Squatted ASCone,ASCone
9196,49342,53.0,6726,Not Squatted ASCone,ASCone
9197,196925,122.0,22673,Not Squatted ASCone,ASCone
9198,20960,131.0,29784,Not Squatted ASCone,ASCone
9199,10929,18.0,7465,Not Squatted ASCone,ASCone
9200,55805,141.0,5778,Not Squatted ASCone,ASCone
9201,27843,10.0,176910,Squatted ASCone,ASCone
9202,24723,13.0,7954,Not Squatted ASCone,ASCone
9203,135523,45.0,20527,Not Squatted ASCone,ASCone
9204,7784,96.0,57670,Not Squatted ASCone,ASCone
9205,32748,14.0,24765,Not Squatted ASCone,ASCone
9206,13951,25.0,73751,Not Squatted ASCone,ASCone
9207,33489,9.0,9716,Not Squatted ASCone,ASCone
9208,132298,90.0,7610,Not Squatted ASCone,ASCone
9209,376,330.0,333543,Not Squatted ASCone,ASCone
9210,36327,79.0,111303,Not Squatted ASCone,ASCone
9211,17623,294.0,204211,Squatted ASCone,ASCone
9212,38790,165.0,76971,Not Squatted ASCone,ASCone
9213,17625,24.0,58344,Squatted ASCone,ASCone
9214,47692,99.0,6610,Not Squatted ASCone,ASCone
9215,24130,12.0,27756,Not Squatted ASCone,ASCone
9216,21947,1.0,65557,Squatted ASCone,ASCone
9217,55714,6.0,9893,Squatted ASCone,ASCone
9218,24863,4.0,126201,Squatted ASCone,ASCone
9219,27932,10.0,28063,Squatted ASCone,ASCone
9220,5413,1.0,703535,Squatted ASCone,ASCone
9221,35549,1.0,77649,Squatted ASCone,ASCone
9222,4058,6.0,607224,Squatted ASCone,ASCone
9223,14230,1.0,293682,Squatted ASCone,ASCone
9224,8896,90.0,121949,Not Squatted ASCone,ASCone
9225,2611,14.0,222690,Squatted ASCone,ASCone
9226,200590,55.0,13038,Not Squatted ASCone,ASCone
9227,42610,1.0,362842,Squatted ASCone,ASCone
9228,23951,4.0,7545,Squatted ASCone,ASCone
9229,26935,64.0,43822,Not Squatted ASCone,ASCone
9230,41820,34.0,18138,Not Squatted ASCone,ASCone
9231,38235,9.0,67203,Squatted ASCone,ASCone
9232,45905,1.0,5252,Squatted ASCone,ASCone
9233,55821,115.0,67158,Not Squatted ASCone,ASCone
9234,15598,131.0,12703,Not Squatted ASCone,ASCone
9235,27882,4.0,260571,Squatted ASCone,ASCone
9236,21195,405.0,303663,Not Squatted ASCone,ASCone
9237,17675,11.0,6322,Not Squatted ASCone,ASCone
9238,30990,233.0,13238,Not Squatted ASCone,ASCone
9239,25513,1010.0,583340,Not Squatted ASCone,ASCone
9240,42973,1.0,225154,Squatted ASCone,ASCone
9241,56308,7.0,5453,Not Squatted ASCone,ASCone
9242,13156,1.0,58462,Squatted ASCone,ASCone
9243,8346,8.0,110513,Squatted ASCone,ASCone
9244,12859,194.0,55292,Not Squatted ASCone,ASCone
9245,31257,79.0,18680,Not Squatted ASCone,ASCone
9246,28165,5.0,45092,Squatted ASCone,ASCone
9247,22566,1.0,99727,Squatted ASCone,ASCone
9248,17941,19.0,16672,Not Squatted ASCone,ASCone
9249,137443,1.0,39099,Squatted ASCone,ASCone
9250,10223,16.0,7848,Not Squatted ASCone,ASCone
9251,9911,4.0,288158,Squatted ASCone,ASCone
9252,262318,422.0,15743,Not Squatted ASCone,ASCone
9253,43139,132.0,19241,Not Squatted ASCone,ASCone
9254,31549,8345.0,32350,Not Squatted ASCone,ASCone
9255,18233,2.0,35899,Squatted ASCone,ASCone
9256,31208,34.0,13010,Not Squatted ASCone,ASCone
9257,3480,107.0,279956,Not Squatted ASCone,ASCone
9258,36992,12.0,130744,Squatted ASCone,ASCone
9259,8445,1.0,148271,Squatted ASCone,ASCone
9260,39122,55.0,11286,Not Squatted ASCone,ASCone
9261,9186,88.0,65367,Not Squatted ASCone,ASCone
9262,27017,22.0,2610651,Squatted ASCone,ASCone
9263,14080,7.0,902326,Squatted ASCone,ASCone
9264,10674,81.0,41862,Not Squatted ASCone,ASCone
9265,34594,5138.0,62785,Not Squatted ASCone,ASCone
9266,47223,29.0,7169,Not Squatted ASCone,ASCone
9267,10029,6.0,158798,Squatted ASCone,ASCone
9268,37678,83.0,10151,Not Squatted ASCone,ASCone
9269,36930,102.0,8370,Not Squatted ASCone,ASCone
9270,29863,18.0,48546,Not Squatted ASCone,ASCone
9271,262731,432.0,27560,Not Squatted ASCone,ASCone
9272,22995,1640.0,393180,Not Squatted ASCone,ASCone
9273,33422,12.0,52067,Not Squatted ASCone,ASCone
9274,34659,45.0,19728,Not Squatted ASCone,ASCone
9275,133255,3.0,8645,Squatted ASCone,ASCone
9276,54048,30.0,54079,Not Squatted ASCone,ASCone
9277,48362,76.0,9713,Not Squatted ASCone,ASCone
9278,11855,4.0,16006,Not Squatted ASCone,ASCone
9279,51375,2.0,115594,Squatted ASCone,ASCone
9280,12353,1.0,2030059,Squatted ASCone,ASCone
9281,12611,988.0,81974,Not Squatted ASCone,ASCone
9282,14325,37.0,44866,Not Squatted ASCone,ASCone
9283,21367,63.0,20544,Not Squatted ASCone,ASCone
9284,40107,17.0,84025,Not Squatted ASCone,ASCone
9285,196714,254.0,24921,Not Squatted ASCone,ASCone
9286,12764,140.0,12608,Not Squatted ASCone,ASCone
9287,22869,189.0,19849,Not Squatted ASCone,ASCone
9288,9146,7108.0,66563,Not Squatted ASCone,ASCone
9289,48641,7.0,6794,Not Squatted ASCone,ASCone
9290,25540,278.0,122824,Not Squatted ASCone,ASCone
9291,9607,7.0,8252,Not Squatted ASCone,ASCone
9292,7594,9.0,6611,Not Squatted ASCone,ASCone
9293,9211,58.0,8499,Not Squatted ASCone,ASCone
9294,50309,8.0,7608,Not Squatted ASCone,ASCone
9295,63526,21.0,28009,Squatted ASCone,ASCone
9296,264628,2.0,5010,Squatted ASCone,ASCone
9297,21782,373.0,38812,Not Squatted ASCone,ASCone
9298,34347,322.0,9069,Not Squatted ASCone,ASCone
9299,15702,23.0,7800,Not Squatted ASCone,ASCone
9300,15943,3811.0,273234,Not Squatted ASCone,ASCone
9301,57588,55.0,9661,Not Squatted ASCone,ASCone
9302,42555,103.0,9234,Not Squatted ASCone,ASCone
9303,23487,2.0,67493,Squatted ASCone,ASCone
9304,2852,541.0,125077,Not Squatted ASCone,ASCone
9305,21246,1870.0,30553,Not Squatted ASCone,ASCone
9306,27951,12.0,162961,Squatted ASCone,ASCone
9307,9443,4.0,1530776,Squatted ASCone,ASCone
9308,134688,8.0,19411,Not Squatted ASCone,ASCone
9309,19092,33.0,6217,Not Squatted ASCone,ASCone
9310,29571,1.0,133419,Squatted ASCone,ASCone
9311,7046,3.0,830417,Squatted ASCone,ASCone
9312,31163,144.0,16206,Not Squatted ASCone,ASCone
9313,13855,256.0,91998,Not Squatted ASCone,ASCone
9314,13415,233.0,244158,Not Squatted ASCone,ASCone
9315,33661,18.0,7121,Not Squatted ASCone,ASCone
9316,12338,12397.0,259594,Not Squatted ASCone,ASCone
9317,133275,10.0,36838,Squatted ASCone,ASCone
9318,8487,1.0,21765,Squatted ASCone,ASCone
9319,43994,42.0,26195,Not Squatted ASCone,ASCone
9320,23764,18.0,16352,Not Squatted ASCone,ASCone
9321,13101,2371.0,35926,Not Squatted ASCone,ASCone
9322,45650,2.0,26575,Squatted ASCone,ASCone
9323,262659,305.0,10729,Not Squatted ASCone,ASCone
9324,30600,4.0,1158555,Squatted ASCone,ASCone
9325,6300,2.0,306401,Squatted ASCone,ASCone
9326,18683,16.0,47775,Not Squatted ASCone,ASCone
9327,27272,23.0,109886,Not Squatted ASCone,ASCone
9328,5539,37.0,13105,Not Squatted ASCone,ASCone
9329,15085,39.0,33094,Not Squatted ASCone,ASCone
9330,54527,4.0,10549,Not Squatted ASCone,ASCone
9331,15808,1.0,33086,Squatted ASCone,ASCone
9332,5394,1193.0,30962,Not Squatted ASCone,ASCone
9333,14537,2.0,54572,Squatted ASCone,ASCone
9334,133676,76.0,29755,Squatted ASCone,ASCone
9335,22625,25.0,86529,Not Squatted ASCone,ASCone
9336,52866,567.0,11474,Not Squatted ASCone,ASCone
9337,61468,163.0,9485,Not Squatted ASCone,ASCone
9338,15962,1.0,392633,Squatted ASCone,ASCone
9339,3676,218.0,345212,Not Squatted ASCone,ASCone
9340,23956,12.0,20294,Squatted ASCone,ASCone
9341,37204,530.0,37882,Not Squatted ASCone,ASCone
9342,12332,58.0,11456,Not Squatted ASCone,ASCone
9343,48832,2.0,192225,Squatted ASCone,ASCone
9344,33991,28.0,7632,Not Squatted ASCone,ASCone
9345,42908,17.0,13299,Not Squatted ASCone,ASCone
9346,23243,5.0,110863,Squatted ASCone,ASCone
9347,24138,209.0,7207,Not Squatted ASCone,ASCone
9348,6648,2.0,12370,Squatted ASCone,ASCone
9349,58923,5.0,6300,Squatted ASCone,ASCone
9350,29492,252.0,294148,Not Squatted ASCone,ASCone
9351,262150,147.0,5599,Not Squatted ASCone,ASCone
9352,30988,80.0,8377,Not Squatted ASCone,ASCone
9353,4628,109.0,167637,Not Squatted ASCone,ASCone
9354,61211,26.0,6719,Not Squatted ASCone,ASCone
9355,21183,615.0,27888,Not Squatted ASCone,ASCone
9356,62214,5.0,8727,Not Squatted ASCone,ASCone
9357,7604,63.0,37960,Not Squatted ASCone,ASCone
9358,7819,20.0,15351,Not Squatted ASCone,ASCone
9359,25467,156.0,15712,Not Squatted ASCone,ASCone
9360,9136,511.0,13884,Not Squatted ASCone,ASCone
9361,51088,124.0,14935,Not Squatted ASCone,ASCone
9362,6700,472.0,5358,Not Squatted ASCone,ASCone
9363,14103,170.0,55855,Not Squatted ASCone,ASCone
9364,23923,5.0,18081,Squatted ASCone,ASCone
9365,50340,12.0,5493,Not Squatted ASCone,ASCone
9366,40111,1.0,57195,Squatted ASCone,ASCone
9367,262509,712.0,11182,Not Squatted ASCone,ASCone
9368,13193,124.0,25397,Not Squatted ASCone,ASCone
9369,16284,4.0,14380,Squatted ASCone,ASCone
9370,11486,1.0,689699,Squatted ASCone,ASCone
9371,11383,15.0,25408,Not Squatted ASCone,ASCone
9372,63927,16.0,34924,Squatted ASCone,ASCone
9373,49824,71.0,5785,Not Squatted ASCone,ASCone
9374,16553,4.0,123407,Not Squatted ASCone,ASCone
9375,21976,117.0,15669,Not Squatted ASCone,ASCone
9376,8778,56.0,26721,Not Squatted ASCone,ASCone
9377,137967,2.0,6377,Squatted ASCone,ASCone
9378,9044,298.0,28411,Not Squatted ASCone,ASCone
9379,29107,108.0,74282,Not Squatted ASCone,ASCone
9380,8309,14.0,13969,Not Squatted ASCone,ASCone
9381,6653,88.0,13069,Not Squatted ASCone,ASCone
9382,1767,100.0,11778,Not Squatted ASCone,ASCone
9383,8369,377.0,28221,Not Squatted ASCone,ASCone
9384,13213,3.0,11163,Squatted ASCone,ASCone
9385,30851,97.0,18437,Not Squatted ASCone,ASCone
9386,17727,4.0,45983,Squatted ASCone,ASCone
9387,262807,965.0,16007,Not Squatted ASCone,ASCone
9388,9503,9.0,341750,Squatted ASCone,ASCone
9389,56030,8.0,148444,Squatted ASCone,ASCone
9390,35369,204.0,63691,Not Squatted ASCone,ASCone
9391,15108,3.0,252238,Squatted ASCone,ASCone
9392,25086,56.0,16179,Not Squatted ASCone,ASCone
9393,29684,2.0,393235,Squatted ASCone,ASCone
9394,31477,78.0,22780,Not Squatted ASCone,ASCone
9395,58965,25.0,24517,Squatted ASCone,ASCone
9396,15997,1.0,41338,Squatted ASCone,ASCone
9397,22351,95.0,64468,Not Squatted ASCone,ASCone
9398,3330,73.0,16975,Not Squatted ASCone,ASCone
9399,29124,264.0,68992,Not Squatted ASCone,ASCone
9400,133720,6.0,72889,Squatted ASCone,ASCone
9401,27884,8.0,96300,Squatted ASCone,ASCone
9402,13490,2200.0,387312,Not Squatted ASCone,ASCone
9403,27026,58.0,96107,Not Squatted ASCone,ASCone
9404,42831,137.0,8332,Not Squatted ASCone,ASCone
9405,42346,103.0,31724,Not Squatted ASCone,ASCone
9406,17766,3.0,91592,Squatted ASCone,ASCone
9407,297,296.0,1036055,Squatted ASCone,ASCone
9408,134555,16.0,24317,Not Squatted ASCone,ASCone
9409,9085,95.0,51530,Not Squatted ASCone,ASCone
9410,11686,1.0,320590,Squatted ASCone,ASCone
9411,15965,90.0,19713,Not Squatted ASCone,ASCone
9412,15169,133.0,15149810,Squatted ASCone,ASCone
9413,9822,10.0,268314,Squatted ASCone,ASCone
9414,61231,26.0,18587,Not Squatted ASCone,ASCone
9415,6223,3.0,117465,Not Squatted ASCone,ASCone
9416,7991,1.0,57019,Squatted ASCone,ASCone
9417,45011,3446.0,705775,Not Squatted ASCone,ASCone
9418,38026,148.0,20080,Squatted ASCone,ASCone
9419,24203,20.0,131038,Squatted ASCone,ASCone
9420,3361,15.0,16997,Not Squatted ASCone,ASCone
9421,9873,47.0,73177,Squatted ASCone,ASCone
9422,394141,103.0,71790,Not Squatted ASCone,ASCone
9423,38949,11.0,6859,Not Squatted ASCone,ASCone
9424,21351,273.0,23237,Not Squatted ASCone,ASCone
9425,11403,11.0,21849,Not Squatted ASCone,ASCone
9426,18200,75.0,54326,Not Squatted ASCone,ASCone
9427,131293,1.0,71789,Squatted ASCone,ASCone
9428,48239,97.0,19007,Not Squatted ASCone,ASCone
9429,17113,40.0,37636,Not Squatted ASCone,ASCone
9430,18451,10.0,19519,Not Squatted ASCone,ASCone
9431,16095,325.0,22909,Not Squatted ASCone,ASCone
9432,132040,12.0,14323,Not Squatted ASCone,ASCone
9433,9541,11.0,183723,Squatted ASCone,ASCone
9434,26878,61.0,12811,Not Squatted ASCone,ASCone
9435,17511,6.0,1054895,Squatted ASCone,ASCone
9436,36926,1573.0,18313,Not Squatted ASCone,ASCone
9437,8607,241.0,90385,Not Squatted ASCone,ASCone
9438,19653,1.0,346914,Squatted ASCone,ASCone
9439,23944,9.0,678678,Squatted ASCone,ASCone
9440,13333,324.0,115303,Not Squatted ASCone,ASCone
9441,262253,9.0,57185,Squatted ASCone,ASCone
9442,16342,1.0,156163,Squatted ASCone,ASCone
9443,26479,93.0,34158,Not Squatted ASCone,ASCone
9444,262186,12.0,68433,Squatted ASCone,ASCone
9445,38565,1.0,6867,Squatted ASCone,ASCone
9446,24651,605.0,42794,Not Squatted ASCone,ASCone
9447,24479,1.0,19483,Squatted ASCone,ASCone
9448,6772,859.0,73365,Not Squatted ASCone,ASCone
9449,31424,28.0,7743,Not Squatted ASCone,ASCone
9450,11666,225.0,50866,Not Squatted ASCone,ASCone
9451,29470,15.0,9986,Not Squatted ASCone,ASCone
9452,30372,2.0,100417,Squatted ASCone,ASCone
9453,24778,5.0,18350,Not Squatted ASCone,ASCone
9454,21548,61.0,74541,Not Squatted ASCone,ASCone
9455,2514,5.0,1602033,Squatted ASCone,ASCone
9456,14007,55.0,30623,Not Squatted ASCone,ASCone
9457,8240,35.0,33526,Not Squatted ASCone,ASCone
9458,27258,103.0,18878,Not Squatted ASCone,ASCone
9459,6805,5.0,1537290,Squatted ASCone,ASCone
9460,55836,7900.0,6102651,Squatted Eyeballs,Eyeballs
9461,4134,1337.0,8389004,Squatted Eyeballs,Eyeballs
9462,4837,12539.0,4148572,Squatted Eyeballs,Eyeballs
9463,45609,203.0,2704272,Squatted Eyeballs,Eyeballs
9464,197207,2.0,16004,Squatted Eyeballs,Eyeballs
9465,4812,346.0,7291856,Squatted Eyeballs,Eyeballs
9466,7922,583.0,169673248,Squatted Eyeballs,Eyeballs
9467,4808,344.0,2999050,Squatted Eyeballs,Eyeballs
9468,38266,50.0,551473,Squatted Eyeballs,Eyeballs
9469,7713,816.0,4024846,Squatted Eyeballs,Eyeballs
9470,8151,205.0,13798390,Squatted Eyeballs,Eyeballs
9471,29465,4.0,255970,Squatted Eyeballs,Eyeballs
9472,45271,23.0,161016,Squatted Eyeballs,Eyeballs
9473,56040,122.0,1030865,Squatted Eyeballs,Eyeballs
9474,9299,115.0,3559008,Squatted Eyeballs,Eyeballs
9475,23693,100.0,590384,Squatted Eyeballs,Eyeballs
9476,2516,29.0,7275693,Squatted Eyeballs,Eyeballs
9477,3320,40.0,15354479,Squatted Eyeballs,Eyeballs
9478,56046,7.0,56985,Squatted Eyeballs,Eyeballs
9479,7018,461.0,82489488,Squatted Eyeballs,Eyeballs
9480,28573,13.0,7356609,Squatted Eyeballs,Eyeballs
9481,17676,18.0,6930065,Squatted Eyeballs,Eyeballs
9482,7552,48.0,686568,Squatted Eyeballs,Eyeballs
9483,4766,12.0,3171940,Squatted Eyeballs,Eyeballs
9484,12389,1.0,1071443,Squatted Eyeballs,Eyeballs
9485,45899,36.0,2137754,Squatted Eyeballs,Eyeballs
9486,50710,36.0,67817,Squatted Eyeballs,Eyeballs
9487,36903,20334.0,375019,Not Squatted Eyeballs,Eyeballs
9488,4713,46.0,10814328,Squatted Eyeballs,Eyeballs
9489,134773,116.0,1002396,Squatted Eyeballs,Eyeballs
9490,4761,46.0,246756,Squatted Eyeballs,Eyeballs
9491,132199,26.0,1359331,Squatted Eyeballs,Eyeballs
9492,5607,12.0,8520978,Squatted Eyeballs,Eyeballs
9493,3209,22.0,6195111,Squatted Eyeballs,Eyeballs
9494,5089,17.0,10368540,Squatted Eyeballs,Eyeballs
9495,3352,31.0,8049760,Squatted Eyeballs,Eyeballs
9496,701,207.0,38894658,Squatted Eyeballs,Eyeballs
9497,9829,76.0,1335534,Squatted Eyeballs,Eyeballs
9498,2856,34.0,19689954,Squatted Eyeballs,Eyeballs
9499,24400,36.0,675328,Squatted Eyeballs,Eyeballs
9500,8359,1067.0,269920,Not Squatted Eyeballs,Eyeballs
9501,39891,2.0,311604,Squatted Eyeballs,Eyeballs
9502,17639,15.0,1743470,Squatted Eyeballs,Eyeballs
9503,16135,1.0,362829,Squatted Eyeballs,Eyeballs
9504,17816,398.0,285822,Squatted Eyeballs,Eyeballs
9505,22394,70.0,3156906,Squatted Eyeballs,Eyeballs
9506,24203,20.0,131038,Squatted Eyeballs,Eyeballs
9507,20115,1776.0,25707242,Squatted Eyeballs,Eyeballs
9508,9318,14.0,2381741,Squatted Eyeballs,Eyeballs
9509,13999,13.0,1791629,Squatted Eyeballs,Eyeballs
9510,47331,15.0,2889205,Squatted Eyeballs,Eyeballs
9511,16345,201.0,55269,Not Squatted Eyeballs,Eyeballs
9512,24444,42.0,153183,Squatted Eyeballs,Eyeballs
9513,8048,9.0,179824,Squatted Eyeballs,Eyeballs
9514,15897,1.0,97045,Squatted Eyeballs,Eyeballs
9515,4788,35.0,5462194,Squatted Eyeballs,Eyeballs
9516,9605,5863.0,898053,Not Squatted Eyeballs,Eyeballs
9517,1221,156.0,15304744,Squatted Eyeballs,Eyeballs
9518,6147,206.0,2858738,Squatted Eyeballs,Eyeballs
9519,56048,75.0,630836,Squatted Eyeballs,Eyeballs
9520,17072,17.0,4259312,Squatted Eyeballs,Eyeballs
9521,15557,10.0,3338138,Squatted Eyeballs,Eyeballs
9522,7738,13.0,951718,Squatted Eyeballs,Eyeballs
9523,10620,7.0,3049582,Squatted Eyeballs,Eyeballs
9524,22773,101.0,29812846,Squatted Eyeballs,Eyeballs
9525,131445,1.0,246141,Squatted Eyeballs,Eyeballs
9526,12322,2.0,5532439,Squatted Eyeballs,Eyeballs
9527,56047,17.0,49439,Squatted Eyeballs,Eyeballs
9528,3269,15.0,4216101,Squatted Eyeballs,Eyeballs
9529,18403,13.0,1079275,Squatted Eyeballs,Eyeballs
9530,34984,82.0,2352224,Squatted Eyeballs,Eyeballs
9531,17621,1101.0,2172657,Squatted Eyeballs,Eyeballs
9532,30986,1.0,132746,Squatted Eyeballs,Eyeballs
9533,24560,45.0,5994599,Squatted Eyeballs,Eyeballs
9534,17557,42.0,282179,Squatted Eyeballs,Eyeballs
9535,45727,16.0,92829,Squatted Eyeballs,Eyeballs
9536,24389,15.0,87048,Squatted Eyeballs,Eyeballs
9537,24445,28.0,87058,Squatted Eyeballs,Eyeballs
9538,26599,17870.0,533186,Not Squatted Eyeballs,Eyeballs
9539,1267,8.0,1558731,Squatted Eyeballs,Eyeballs
9540,25019,26.0,1634826,Squatted Eyeballs,Eyeballs
9541,5384,30.0,5257262,Squatted Eyeballs,Eyeballs
9542,30722,6.0,2388705,Squatted Eyeballs,Eyeballs
9543,4775,19.0,701464,Squatted Eyeballs,Eyeballs
9544,17552,38.0,1918244,Squatted Eyeballs,Eyeballs
9545,10139,9.0,529423,Squatted Eyeballs,Eyeballs
