,AS,# of source IP,# of Traceroutes,Type,Feature
118,26599,17870.0,533186,Not Squatted lenPref,lenPref
119,22394,70.0,3156906,Squatted lenPref,lenPref
120,45528,3.0,196553,Squatted lenPref,lenPref
121,17623,294.0,204211,Squatted lenPref,lenPref
122,35807,1073.0,98330,Not Squatted lenPref,lenPref
123,35913,4.0,24404,Squatted lenPref,lenPref
124,20746,126.0,73860,Not Squatted lenPref,lenPref
125,8100,1.0,24502,Squatted lenPref,lenPref
126,6830,32.0,15475998,Squatted lenPref,lenPref
127,35908,1.0,6921,Squatted lenPref,lenPref
128,9919,669.0,512636,Not Squatted lenPref,lenPref
129,50673,1780.0,62160,Not Squatted lenPref,lenPref
130,3257,21.0,2367785,Squatted lenPref,lenPref
131,6471,9.0,657988,Squatted lenPref,lenPref
132,22884,37.0,1051143,Squatted lenPref,lenPref
133,13490,2200.0,387312,Not Squatted lenPref,lenPref
134,29571,1.0,133419,Squatted lenPref,lenPref
135,13649,2.0,1346422,Squatted lenPref,lenPref
136,3462,30.0,4522465,Squatted lenPref,lenPref
137,31148,418.0,33652,Not Squatted lenPref,lenPref
138,15169,133.0,15149810,Squatted lenPref,lenPref
139,8866,4708.0,558142,Not Squatted lenPref,lenPref
140,8386,1.0,368153,Squatted lenPref,lenPref
141,140061,1.0,9987,Squatted lenPref,lenPref
142,812,1071.0,15404231,Squatted lenPref,lenPref
143,852,6.0,10989322,Squatted lenPref,lenPref
144,17841,1.0,16649,Squatted lenPref,lenPref
145,20473,11.0,26367,Squatted lenPref,lenPref
146,4847,134.0,2104396,Squatted lenPref,lenPref
147,132165,7.0,30575,Squatted lenPref,lenPref
148,10796,44.0,16157847,Squatted lenPref,lenPref
149,2386,10.0,3313740,Squatted lenPref,lenPref
150,14061,19.0,33850,Squatted lenPref,lenPref
151,17439,7.0,61410,Squatted lenPref,lenPref
152,2907,1.0,190414,Squatted lenPref,lenPref
153,7470,7.0,568842,Squatted lenPref,lenPref
154,14117,10.0,169229,Squatted lenPref,lenPref
155,27738,6405.0,135543,Not Squatted lenPref,lenPref
156,8764,7.0,856858,Squatted lenPref,lenPref
157,28006,3.0,351575,Squatted lenPref,lenPref
158,9116,6.0,1312468,Squatted lenPref,lenPref
159,26496,12.0,5451,Not Squatted lenPref,lenPref
160,7497,8.0,59641,Squatted lenPref,lenPref
161,31898,10.0,39761,Squatted lenPref,lenPref
162,4628,109.0,167637,Not Squatted lenPref,lenPref
163,27773,1.0,171798,Squatted lenPref,lenPref
164,9318,14.0,2381741,Squatted lenPref,lenPref
165,3561,2.0,1275026,Squatted lenPref,lenPref
166,17638,26.0,326986,Squatted lenPref,lenPref
167,4771,85.0,1527266,Squatted lenPref,lenPref
168,51964,11.0,1083823,Squatted lenPref,lenPref
169,30988,80.0,8377,Not Squatted lenPref,lenPref
170,9541,11.0,183723,Squatted lenPref,lenPref
171,4804,16.0,4291783,Squatted lenPref,lenPref
172,6057,4.0,372604,Squatted lenPref,lenPref
173,22085,3529.0,81258,Not Squatted lenPref,lenPref
174,21826,3978.0,28182,Not Squatted lenPref,lenPref
175,56046,7.0,56985,Squatted lenPref,lenPref
176,1239,2.0,1102921,Squatted lenPref,lenPref
177,17557,42.0,282179,Squatted lenPref,lenPref
178,23650,2.0,79819,Squatted lenPref,lenPref
179,9658,4.0,196535,Squatted lenPref,lenPref
180,62904,450.0,24296,Not Squatted lenPref,lenPref
181,6713,2.0,128193,Squatted lenPref,lenPref
182,12252,11.0,947078,Squatted lenPref,lenPref
183,50010,2377.0,199447,Not Squatted lenPref,lenPref
184,61568,200.0,10383,Not Squatted lenPref,lenPref
185,38266,50.0,551473,Squatted lenPref,lenPref
186,7011,407.0,30607,Not Squatted lenPref,lenPref
187,7474,8.0,923786,Squatted lenPref,lenPref
188,45102,270.0,92274,Squatted lenPref,lenPref
189,13768,1.0,77416,Squatted lenPref,lenPref
190,52228,10.0,870332,Squatted lenPref,lenPref
191,4764,2.0,1900360,Squatted lenPref,lenPref
192,12735,83.0,331219,Squatted lenPref,lenPref
193,4761,46.0,246756,Squatted lenPref,lenPref
194,56040,122.0,1030865,Squatted lenPref,lenPref
195,18207,9.0,251230,Squatted lenPref,lenPref
196,23724,15.0,405583,Squatted lenPref,lenPref
197,17621,1101.0,2172657,Squatted lenPref,lenPref
198,36935,2380.0,61624,Not Squatted lenPref,lenPref
199,21565,1305.0,141644,Not Squatted lenPref,lenPref
200,6167,30.0,1615773,Squatted lenPref,lenPref
201,131596,2.0,32395,Squatted lenPref,lenPref
202,4637,9.0,596393,Squatted lenPref,lenPref
203,15399,3.0,156559,Squatted lenPref,lenPref
204,3352,31.0,8049760,Squatted lenPref,lenPref
205,29119,3.0,77274,Squatted lenPref,lenPref
206,37342,1640.0,33998,Not Squatted lenPref,lenPref
207,12552,2.0,793202,Squatted lenPref,lenPref
208,133612,2.0,745721,Squatted lenPref,lenPref
209,10036,4413.0,53703,Not Squatted lenPref,lenPref
210,131090,18.0,130859,Squatted lenPref,lenPref
211,8881,5.0,2654641,Squatted lenPref,lenPref
212,18809,1.0,639486,Squatted lenPref,lenPref
213,45194,4.0,152761,Squatted lenPref,lenPref
214,10143,3.0,1042735,Squatted lenPref,lenPref
215,45769,5.0,310933,Squatted lenPref,lenPref
216,23473,1157.0,111327,Not Squatted lenPref,lenPref
217,29802,136.0,17984,Not Squatted lenPref,lenPref
218,33363,106.0,10783905,Squatted lenPref,lenPref
219,9155,3.0,109030,Squatted lenPref,lenPref
220,3320,40.0,15354479,Squatted lenPref,lenPref
221,14618,15.0,4431898,Squatted lenPref,lenPref
222,137443,1.0,39099,Squatted lenPref,lenPref
223,28509,2.0,318663,Squatted lenPref,lenPref
224,22646,2.0,332454,Squatted lenPref,lenPref
225,23889,1.0,296972,Squatted lenPref,lenPref
226,7922,583.0,169673248,Squatted lenPref,lenPref
227,37963,753.0,31132,Squatted lenPref,lenPref
228,17451,103.0,443767,Squatted lenPref,lenPref
229,4800,11.0,122412,Squatted lenPref,lenPref
230,4750,8.0,445400,Squatted lenPref,lenPref
231,19108,12.0,3911484,Squatted lenPref,lenPref
232,9304,10.0,1391100,Squatted lenPref,lenPref
233,9121,38.0,2286479,Squatted lenPref,lenPref
234,4739,3.0,433282,Squatted lenPref,lenPref
235,28118,4.0,155923,Squatted lenPref,lenPref
236,35141,959.0,100472,Not Squatted lenPref,lenPref
237,8048,9.0,179824,Squatted lenPref,lenPref
238,46844,2.0,8312,Squatted lenPref,lenPref
239,47524,75036.0,752643,Not Squatted lenPref,lenPref
240,9299,115.0,3559008,Squatted lenPref,lenPref
241,45458,8.0,441475,Squatted lenPref,lenPref
242,42337,1.0,33006,Squatted lenPref,lenPref
243,60781,242.0,15095,Not Squatted lenPref,lenPref
244,6621,2.0,448818,Squatted lenPref,lenPref
245,4812,346.0,7291856,Squatted lenPref,lenPref
246,10753,4.0,2478888,Squatted lenPref,lenPref
247,48161,3313.0,41220,Not Squatted lenPref,lenPref
248,7459,4.0,983950,Squatted lenPref,lenPref
249,46562,1.0,67964,Squatted lenPref,lenPref
250,46887,6.0,2297780,Squatted lenPref,lenPref
251,22047,4.0,1224101,Squatted lenPref,lenPref
252,9931,2.0,154914,Squatted lenPref,lenPref
253,17762,12.0,348011,Squatted lenPref,lenPref
254,63949,21.0,15701,Squatted lenPref,lenPref
255,38623,10.0,46290,Squatted lenPref,lenPref
256,35819,5.0,751476,Squatted lenPref,lenPref
257,132199,26.0,1359331,Squatted lenPref,lenPref
258,40285,1.0,158438,Squatted lenPref,lenPref
259,54994,3.0,88650,Squatted lenPref,lenPref
260,4788,35.0,5462194,Squatted lenPref,lenPref
261,43766,7.0,273659,Squatted lenPref,lenPref
262,3303,3.0,3815103,Squatted lenPref,lenPref
263,4621,1.0,7124,Squatted lenPref,lenPref
264,4787,11.0,84592,Squatted lenPref,lenPref
265,3329,53168.0,399820,Not Squatted lenPref,lenPref
266,134773,116.0,1002396,Squatted lenPref,lenPref
267,15897,1.0,97045,Squatted lenPref,lenPref
268,9340,1.0,15457,Squatted lenPref,lenPref
269,33491,74.0,222424,Not Squatted lenPref,lenPref
270,24444,42.0,153183,Squatted lenPref,lenPref
271,1221,156.0,15304744,Squatted lenPref,lenPref
272,17853,758.0,39087,Not Squatted lenPref,lenPref
273,4657,7.0,665693,Squatted lenPref,lenPref
274,4618,4.0,80907,Squatted lenPref,lenPref
275,63199,1.0,185982,Squatted lenPref,lenPref
276,21050,3.0,233452,Squatted lenPref,lenPref
277,7575,3.0,605799,Squatted lenPref,lenPref
278,17072,17.0,4259312,Squatted lenPref,lenPref
279,134772,41.0,343906,Squatted lenPref,lenPref
280,27843,10.0,176910,Squatted lenPref,lenPref
281,4760,12.0,1359804,Squatted lenPref,lenPref
282,17639,15.0,1743470,Squatted lenPref,lenPref
283,15547,604.0,68166,Not Squatted lenPref,lenPref
284,22561,1282.0,309349,Not Squatted lenPref,lenPref
285,27775,4.0,57933,Squatted lenPref,lenPref
286,11976,1.0,173772,Squatted lenPref,lenPref
287,17184,565.0,84475,Not Squatted lenPref,lenPref
288,45903,6.0,283175,Squatted lenPref,lenPref
289,395965,555.0,245745,Not Squatted lenPref,lenPref
290,30844,19.0,173285,Squatted lenPref,lenPref
291,18229,100.0,435335,Squatted lenPref,lenPref
292,9845,1002.0,5963,Not Squatted lenPref,lenPref
293,44244,3.0,35911,Squatted lenPref,lenPref
294,48832,2.0,192225,Squatted lenPref,lenPref
295,3301,6.0,5465194,Squatted lenPref,lenPref
296,15774,297.0,45631,Not Squatted lenPref,lenPref
297,8167,6.0,473786,Squatted lenPref,lenPref
298,199524,1.0,12987,Squatted lenPref,lenPref
299,18747,10.0,224730,Squatted lenPref,lenPref
300,13124,1747.0,109716,Not Squatted lenPref,lenPref
301,1136,5.0,6286807,Squatted lenPref,lenPref
302,2764,1610.0,867629,Not Squatted lenPref,lenPref
303,52251,411.0,6449,Not Squatted lenPref,lenPref
304,6697,2.0,333717,Squatted lenPref,lenPref
305,17917,1.0,107924,Squatted lenPref,lenPref
306,133481,17.0,1298488,Squatted lenPref,lenPref
307,23563,942.0,12529,Not Squatted lenPref,lenPref
308,2018,451.0,55069,Not Squatted lenPref,lenPref
309,24086,1206.0,7524,Not Squatted lenPref,lenPref
310,5089,17.0,10368540,Squatted lenPref,lenPref
311,9381,11.0,1463260,Squatted lenPref,lenPref
312,21502,3873.0,567508,Not Squatted lenPref,lenPref
313,8220,16.0,3000044,Squatted lenPref,lenPref
314,29076,43.0,8617,Not Squatted lenPref,lenPref
315,8437,4.0,169180,Squatted lenPref,lenPref
316,17465,421.0,228428,Squatted lenPref,lenPref
317,15502,2.0,595135,Squatted lenPref,lenPref
318,38841,2397.0,46392,Not Squatted lenPref,lenPref
319,23410,83.0,49658,Not Squatted lenPref,lenPref
320,13213,3.0,11163,Squatted lenPref,lenPref
321,23089,4.0,558265,Squatted lenPref,lenPref
322,3255,297.0,20418,Not Squatted lenPref,lenPref
323,38264,12.0,27045,Squatted lenPref,lenPref
324,15924,2.0,366146,Squatted lenPref,lenPref
325,23201,1.0,149403,Squatted lenPref,lenPref
326,4795,5.0,78251,Squatted lenPref,lenPref
327,136200,23.0,437490,Squatted lenPref,lenPref
328,10013,1306.0,84961,Squatted lenPref,lenPref
329,7015,34.0,86967,Not Squatted lenPref,lenPref
330,27983,2425.0,13477,Not Squatted lenPref,lenPref
331,34296,24348.0,96285,Not Squatted lenPref,lenPref
332,5056,2.0,400248,Squatted lenPref,lenPref
333,9676,368.0,6622,Not Squatted lenPref,lenPref
334,21433,17.0,314716,Squatted lenPref,lenPref
335,29465,4.0,255970,Squatted lenPref,lenPref
336,17622,310.0,283501,Squatted lenPref,lenPref
337,262186,12.0,68433,Squatted lenPref,lenPref
