#Field:count	sourceIPCount	endUserASN
20238	91	30119
5627	3	30266
30	1	30278
1179	1	30338
64	1	30377
84146	212	30466
120	1	30546
136	21	30681
241123	2897	30689
495	1	30758
2339	79	30784
292314	2412	30844
439	4	30857
437	2	31009
18	1	31062
66	1	31072
279	1	31173
174671	293	31242
38860	1236	31252
6	1	31428
1176	3	31445
1767	1	31454
46378	8526	31549
12	1	31609
1213	4	31704
114379	147	31727
183	1	31840
11335	23	31915
6568	54	32034
10898	2	32230
2386	30	32244
37	1	32260
1850	10	32408
36509	2	32487
36	1	32532
131	2	32536
303	38	32601
189471	4	32701
546	1	32995
2112	2	33024
26903	89	33152
281	4	33170
11032	2	33184
583	1	33267
1139	1	33369
23071	8	33371
687	1	33478
4043	4	33499
282	1	33709
299318	8751	33771
50	1	33801
3501	6	33850
36420	237	33874
4	1	33907
13059	49	33947
3146	1	33996
97	7	34047
1504	1	34173
452	47	34219
16	1	34299
3444	25	34300
40	2	34355
998	12	34450
348	1	34462
707	1	34487
1370	41	34524
3093	2	34548
1910	49	34666
72	1	34715
9298	3	34722
18748	74	34767
1927	1	34789
97	2	34894
17017	1729	34977
76	8	34985
18455	252	35074
1455	5	35087
17	1	35160
71	2	35168
523	1	35195
4	1	35227
527	9	35247
2436	7	35327
42	4	35346
79967	255	35369
6050	2	35446
7	3	35525
147	4	35585
973	10	35592
1720	17	35609
17152	31	35613
286	5	35710
60771	137	35900
467	1	35901
8	2	35984
12	2	35995
33	1	36015
16974	105	36016
408	2	36020
5242	7	36203
3	1	36231
4	1	36260
91	5	36369
5108	7	36468
526	2	36601
70	1	36679
11290	1	36821
2709	75	36945
63277	1912	36974
43	2	36975
4817	4	36993
4770	9	37008
7	3	37010
3416	9	37032
966	38	37143
88	4	37252
26032	130	37333
596	2	37434
1108	8	37647
12	1	37709
27	1	37897
4612	19	38017
176	1	38037
3380	16	38113
6	1	38248
61	1	38326
7036	14	38437
10948	32	38456
187	5	38589
1611	2	38594
1573	20	38764
118	9	38783
3515	10	38949
201	8	38972
6	1	38978
3732	20	39001
4	1	39098
2220	40	39135
568	2	39171
14377	2	39230
12683	22	39235
60	1	39266
389	3	39299
189	26	39365
1	1	39460
8173	94	39507
46287	38	39522
319	3	39797
8484	17	39803
8671	34	39816
420	19	39847
10851	61	39906
2522	44	39938
378	2	39952
33268	2	39983
77810	4	40026
3	1	40179
19	1	40218
23109	1	40331
2891	1	40334
169127	9	40341
1575	2	40483
1858	8	40720
1870	4	40761
4558	2	40922
75	2	40969
60	1	40975
484	1	40977
39	1	41111
4	1	41183
