#Field:count	sourceIPCount	endUserASN
19952	4	33
37398	84	43
139	3	57
448346	131	62
1647	153	217
6822	5	264
11	4	335
9880	2	367
7	2	492
7143219	28474	577
15339	250	1124
823005	8993	1257
22	8	1467
7	3	1476
2460	51	1651
40992	11	2003
16562	38	2495
200012	212	2544
22902	301	2588
59	4	2714
6	2	2773
124	1	3096
5341	163	3450
131111	53	3481
26	2	3496
3528534	7492	3549
15534	693	3605
407047	1262	3633
322	3	3714
206	2	3745
27119	103	3778
2087	42	3833
233	4	3908
710	6	3955
23156	485	4130
919469	7346	4181
2928	104	4282
310	1	4367
1	1	4452
122609	13277	4538
461860	24021	4760
14879	28	4765
11	2	4781
2	2	4783
3349238	51807	4812
1305	21	4995
39347	2410	5396
34470	35	5403
2380	44	5669
73	1	5714
638	2	5726
132	2	5733
22	4	6127
2154	52	6280
4275	15	6539
43388	2849	6568
161752	2294	6697
51488	1420	6713
118	5	6744
1422	27	6810
19	1	6924
307966	6	6979
97	1	7045
218	11	7150
339	81	7184
474	9	7226
1238	9	7235
12038	11	7314
46230	65	7332
3064	73	7352
28532	2978	7524
20538	369	7670
1984	581	7672
234042	239	7773
4231	4	7786
2167	7	7806
6878	164	7896
4504	37	8057
17207	644	8193
437	54	8280
1087	24	8290
286	11	8395
237209	14031	8400
366447	34877	8452
2	1	8601
51349	170	8732
3645	5	8737
2528	50	8751
4228	32	8819
253	4	8943
419	3	9075
138	5	9128
14	3	9216
36	4	9292
108	3	9530
112	61	9691
1002	365	9781
3181	2	9966
201242	42	10022
41	2	10106
8824	245	10118
1787	14	10126
23	1	10129
11	1	10156
815	33	10225
52	2	10235
167983	1008	10396
185	2	10400
93347	9	10411
113	33	10506
85	12	10561
1	1	10616
72	20	10668
23608	2	10857
12	1	10945
431	2	11015
49	1	11019
10899	201	11071
5179	1	11264
5810	5	11280
343	4	11297
3213	1	11304
37024	2	11326
2802	2	11386
17808	6	11394
19764	1	11575
2307	3	11582
3	1	11652
174321	6	11687
1937	48	11698
8106	18	11700
8775	119	11727
208760	1	11744
6191	121	11808
10274	97	11847
76	2	11986
4	1	12090
41887	432	12119
155	2	12181
237329	6	12187
210178	10	12229
13199	127	12261
276	42	12675
10953	977	12693
56110	1601	12714
248	6	12789
510	2	13008
985	3	13014
24	1	13023
297886	10	13043
80674	4244	13046
111	16	13157
355	4	13257
813	144	13357
85	3	13363
60	1	13379
997	3	13382
22738	17	13485
39793	1	13558
32	2	13630
817	19	13794
38	1	13833
3525	28	13878
24895	11	13998
112996	54	14017
54	1	14042
32511	369	14048
21141	1	14064
14138	6	14110
183	2	14198
2377	543	14232
117	1	14251
10046	8	14335
3814	43	14368
368232	1	14379
310	5	14382
471	40	14550
202	1	14623
25159	3	14696
25	3	14706
1282	1	14721
2755	22	14726
4535	21	14735
6900	17	14755
15102	2	14787
31	5	14814
7473	1	14990
115136	2	15089
21263	124	15102
1013	4	15188
867334	26	15256
185	4	15261
30	1	15277
342675	2	15343
2082	5	15510
34432	1	15543
317	11	15544
17865	6	15590
531	13	15638
610	8	15644
723	9	15744
22137	319	15774
967	11	15868
1	1	15951
4629	162	16284
20	2	16314
201	1	16481
862	6	16559
8536	1	16600
1336	3	16692
13607	84	16698
295	81	16742
85	1	16778
8914	152	16823
1829	6	17044
308	1	17053
258755	3193	17222
10221	12	17228
75727	6	17381
199	1	17403
6046	60	17480
6950	416	17530
1566	34	17539
8	1	17591
264	27	17671
76	5	17787
699	240	17958
260	31	17968
1056	210	18121
1207	289	18129
10	2	18225
25	12	18320
87285	86	18530
387	1	18533
4	1	18569
198	1	18598
12	2	18600
3800	2	18621
18	1	18625
67	1	18640
845	1	18704
7312	2	18718
6201	1	18820
12575	1	18827
770807	46454	18881
16928	167	19021
3	1	19034
79414	989	19037
23	1	19041
6279	73	19058
36167	1	19076
412	1	19103
990	45	19170
3	1	19194
58	2	19317
1038	1	19367
9	4	19382
1240	2	19407
43	1	19416
1938	52	19526
900	2	19566
55	2	19687
44	3	19755
605	6	19819
666	4	19940
6	1	20045
925	1	20078
13	1	20138
135	2	20159
2	1	20174
19965	18	20228
112	1	20306
319	11	20328
24356	1	20404
14	6	20623
165	2	20691
3472	16	20868
3	1	20946
72	1	20971
13	1	20983
89803	1509	21021
7161	641	21032
2841	681	21034
842	6	21073
10004	8	21077
17956	187	21127
13	1	21208
261	7	21332
527	11	21365
6317	67	21527
1610	2	21648
108551	2	21651
126	1	21675
94831	118	21737
3148	1	21749
35	1	21751
39	1	21758
1014	8	21856
485	3	21858
3915	3	21942
382	2	21979
617	1	22020
392	1	22032
283	1	22038
1055	11	22102
3564	2	22108
39	3	22125
1292	3	22153
4603	13	22299
22021	9	22390
442	13	22458
45	1	22469
12793	18	22472
153	1	22491
4770	37	22581
119572	3	22674
14840	26	22690
7742	2	22696
1	1	22726
13	2	22752
1683	1	22813
4246	2	23082
11	1	23098
1168	1	23256
6	3	23339
8229	65	23423
33	1	23477
3966	1	23493
511	160	23578
84	7	23601
4921	3	23641
2548	78	23682
38	3	23842
22084	11	23853
2992	8	23943
1	1	23948
1	1	24000
4	1	24079
6611	1632	24086
38113	9797	24203
127	5	24315
31	1	24317
873	102	24363
757	23	24482
1321	153	24523
23	6	24536
1670	4	24541
42412	7033	24547
20	1	24707
5002	10	24723
2	1	24802
1912	53	24812
5134	10	24931
6994	268	24961
152317	3	25215
424	5	25261
416	1	25342
8722	17	25460
16	6	25488
31	1	25628
4268	46	25636
6598	18	25648
724	71	25656
61	1	25672
103172	3	25740
20270	3	25850
82734	193	25899
57	1	26013
328	1	26018
109	1	26101
144	6	26128
14404	5	26178
112668	4	26281
10	2	26283
6	1	26290
2841	22	26311
341	10	26327
33	1	26336
544	4	26410
355	7	26488
121571	3	26517
5201	7	26638
97	2	26685
2208	1	26778
14725	33	26788
31174	2	26876
200	3	26886
3909	54	26909
1366	1	26917
69051	1	26936
103984	3	26937
214	2	26967
2237	1	27000
325	3	27004
5598	1	27019
1043	1	27025
278825	38	27064
21	1	27356
294	1	27361
378	11	27370
8673	13	27382
9	1	27462
35	1	27511
25	1	27527
581	2	27615
14999	750	27672
343	4	27830
5184	1430	27866
78	14	27875
36254	1465	27984
62	4	27998
518	58	28023
2768	429	28130
36608	596	28226
1209	193	28233
1358	164	28279
977	4	28316
52	2	28324
11	4	28337
3714	218	28481
271	42	28599
92	36	28620
67	11	28629
2005	131	28647
15865	190	28676
1887	71	28746
646	9	28771
19	5	28860
1456	270	28929
154	4	28939
44	1	28950
649	17	29046
3	1	29121
20854	1459	29286
3820	265	29399
60	1	29445
6898	44	29689
1715	5	29732
290	1	29875
2062	19	29886
116	3	29938
6689	1	30050
12084	2	30082
17285	28	30219
5352	9	30372
147	1	30384
22479	210	30466
20	1	30650
118	2	30735
258	2	30825
13615	12	30847
15	3	30877
6139	264	30990
13	1	31026
99	1	31081
52156	438	31122
14	1	31146
266	1	31173
3536	110	31204
1636	13	31221
4546	33	31286
2140	426	31317
2665	92	31423
3	1	31428
1	1	31450
3	1	31525
1454	45	31556
159	2	31702
53395	126	31727
165	1	31733
1534	1	31755
10	2	31778
2075	23	31783
3	1	31812
16	1	31862
584	7	31914
237	3	31923
24116	1	31973
172	1	32008
2214	19	32064
70	4	32066
193	1	32072
2734	1	32092
4834	61	32264
9330	27	32307
76	1	32344
475	24	32398
78	7	32459
412551	4	32564
15153	99	32592
99	1	32594
5653	2	32755
734	1	32756
5317	155	32809
137	1	32871
136	1	32951
11	1	32956
3856	1	33032
1816	65	33038
683	5	33055
3022	8	33059
9297	1	33121
803	2	33127
538	21	33133
156	4	33138
20373	118	33234
28	1	33296
680	7	33490
1714	2	33565
789	13	33631
331	26	33632
72	1	33801
1025	2	33876
14176	92	33965
97	4	33985
1881	54	34040
14	1	34068
8	2	34083
955	52	34108
345	9	34241
5371	306	34347
39	2	34355
15184	82	34555
194	4	34678
10543	1029	34705
47	5	34737
11364	3	34891
102	4	34892
571	16	34965
203	1	34979
1110747	123584	34984
4243	587	35205
3430	131	35238
193	1	35345
1125	15	35361
7	2	35366
2	1	35427
62	1	35482
60	4	35710
165	8	35804
2515	3	35934
6407	3	35937
5	1	36080
104375	70	36086
85909	2	36152
6	2	36170
22065	2	36173
104	1	36228
1696	3	36237
154	1	36298
1565	35	36316
364	1	36340
605	30	36413
949	1	36452
1	1	36636
144	1	36652
32	4	36872
198	5	37013
9509	112	37014
169	2	37116
2653	14	37157
3	1	37197
236	12	37269
1781	59	37317
1215	25	37410
103	8	37468
3697	28	37521
1415	30	37670
869	17	38017
218	9	38153
3786	7	38176
191957	1193	38195
62	6	38293
263	2	38304
39396	92	38305
246	5	38372
1197	69	38524
915	44	38917
662	2	38936
218	4	38967
2627	274	39069
144	1	39115
17	6	39222
441	38	39251
6864	1	39268
1759	2	39341
97	1	39360
1626	296	39441
81598	797	39603
20035	2	39624
491	11	39762
10013	44	39811
287	16	39823
1651	38	39869
1166	6	39904
312	2	39918
449	1	40150
114	18	40326
92	1	40346
5042	1	40357
603	2	40420
121312	11	40526
2603	2	40599
82962	5	40631
160	1	40635
537	1	40673
56135	5	40724
22	1	40804
428	1	40836
1625	41	40837
41636	3	40844
731	2	40903
12	1	41092
3	1	41094
82	5	41235
379	3	41303
333	97	41343
3583	27	41371
3768	217	41378
36	1	41483
238	4	41495
43	2	41525
229	1	41650
27	1	41719
26	6	41720
3802	9	41722
5	1	41832
1426	3	41970
128	13	41984
1423	182	41997
3860	20	42000
1286	21	42087
2445	52	42109
265	14	42201
14	1	42250
1791	27	42437
1033	6	42539
729	1	42545
2	2	42550
231	5	42568
69	1	42608
18	1	42636
1420	21	42638
1077	5	42717
37	16	42730
3	1	42748
333	3	42880
1441	5	42914
2936	619	42947
53	1	43030
11	3	43049
223	5	43228
156	1	43287
23	2	43329
3	1	43365
2633	3	43422
981	49	43443
288	1	43499
58	1	43598
155	4	43624
93	1	43628
77	5	43711
1949	4	43716
1171	7	43858
3822	111	43905
7	1	43924
4771	3	43958
219	47	43965
769	1	43980
262	22	44081
217	1	44135
12036	2098	44143
115	6	44318
583	4	44546
9859	27	44604
21	3	44679
50	1	44715
8920	2	44771
670	6	44784
4	1	44837
1746	27	44941
27	1	44952
5213	17	44998
2118	399	45245
1	1	45320
44	2	45347
5524	242	45429
15	1	45472
38311	471	45510
309	3	45537
28	3	45600
101	6	45712
27	2	45767
35511	2211	45775
26419	2393	45804
65	2	45843
60	1	45872
14241	2	46145
652	20	46158
67	8	46160
2579	4	46202
