#Field:count	sourceIPCount	endUserASN
5920	222	26
79549	303	73
358173	5	106
1873	152	217
4445	422	278
5	1	555
11741	164	589
340127	398	600
3828425	31	797
6865247	17066	812
855923	9341	1257
447	63	1474
2	1	1495
423	1	1624
15	3	1638
2708	12	1699
42	1	1772
12	1	1929
253	2	1996
9	2	2103
174	2	2114
39782	448	2200
94	6	2470
631	5	2585
12829	15	2589
75	1	2824
24253	96	2841
88589	54	2939
93	3	3064
3	1	3175
107943	12634	3212
11239	81	3399
537433	364	3527
166	12	3719
26261	112	3778
534225	16181	3786
473	66	3813
424	1	3828
234	5	3908
379	49	4270
439	53	4385
781	1	4503
53	1	4543
56	19	4605
5854	22	4765
2743	5	4822
114	1	5015
75	6	5108
1076395	4629	6181
914500	1211	6461
16998	126	6481
516	1	6492
11	3	6507
1577	41	6579
1099	14	6659
456	3	6687
6914	100	6813
5719	93	6877
105017	800	6939
15339	128	7065
1822	77	7203
250	1	7213
39	1	7251
221863	2	7281
575	6	7355
813546	106309	7418
284	3	7479
515	54	7539
2596	119	7557
2611	2	7611
12638	41	7616
184	64	7622
654	13	7665
48102	533	7794
1829	19	7849
463	90	7960
1508	74	8036
544	7	8120
2424	227	8163
45	5	8303
6061	111	8319
233544	15486	8400
179406	3088	8402
12	1	8475
816162	16639	8551
1976	4	8664
1295	7	8692
455495	7252	8764
1686	4	8769
7	2	8878
372	2	8943
20	3	8981
255	2	9011
239571	14005	9158
137	16	9199
6535	19	9255
853912	86871	9318
734	128	9459
326	25	9551
57	2	9632
10300	17	9729
8	2	9732
408	3	9939
1	1	9952
808	8	10032
3	1	10213
59025	540	10269
1998	82	10326
48	1	10406
973	39	10436
29705	9	10511
114	16	10558
223	6	10653
1927	11	10692
301	28	10706
244	1	10808
4483	15	10913
73	2	10934
1417	2	10974
4584	1	11066
1	1	11068
160	8	11155
30	2	11227
3476	17	11319
9533	2	11364
3	1	11375
45	1	11446
116	1	11462
86557	2	11523
7427	191	11649
167772	526	11686
8612	55	11708
72	1	11730
2603	6	11765
1	1	11882
12	2	11897
3	1	11899
745	1	11916
10417	1	11925
10609	254	11979
1665967	14905	12083
42	2	12105
108	1	12107
25	1	12147
46	1	12195
150	5	12205
1417	10	12214
8267	19	12222
85	1	12344
1067	22	12470
275	2	12483
10	4	12610
56	4	12657
17910	305	12668
485	24	12872
85	1	12925
145956	52350	12978
113708	664	13110
203704	8064	13127
324	2	13169
1578	23	13178
67	2	13249
115729	1	13510
1904	1	13520
973	49	13676
1749	4	13746
3783	2	13755
16733	87	13781
4909	20	13789
11942	147	13868
812	8	13871
32194	28	13951
2435	1	14015
32161	3	14109
119	1	14165
3463	2	14224
948	49	14237
17554	11	14340
4144	53	14368
23	1	14427
16169	40	14430
35058	44	14453
5539	135	14511
30444	366	14543
9740	1	14614
3	2	14675
31	3	14731
58	1	14761
15247	184	15054
151	4	15127
16	1	15229
130	1	15232
164011	178	15290
10565	1	15303
70663	2	15307
45538	2300	15366
11458	6	15412
12248	20	15415
2	1	15437
3	1	15498
15	1	15618
370	13	15713
5420	22	15726
877	14	15868
80	8	15889
1199	11	15915
456	1	15995
53040	1411	16097
133	2	16158
14787	361	16245
146	4	16256
15	2	16313
3561	56	16316
5202	12	16406
72861	222	16713
9061	33	16750
3	1	16867
1312	12	16887
1290	37	16954
2401	1	17081
11	3	17082
291	3	17119
132	5	17129
46	2	17159
21	1	17199
491	3	17311
107469	2313	17465
54827	23	17473
89	1	17542
6333	1	17562
2051	37	17707
775	6	17710
38575	5	17750
212	5	18045
5873	9	18117
4385	303	18134
102	59	18164
140	27	18183
1840	34	18245
506885	27557	18403
3	1	18452
15	6	18454
3	1	18524
1903	2	18577
853	3	18614
1704	2	18642
323	4	18690
10221	8	19038
44824	2	19105
120	6	19197
6111	1	19209
31	8	19345
147	10	19390
23	1	19416
1611	63	19526
472	1	19594
89	1	19643
11861	82	19662
320698	11	19738
8695	5	19915
7053	166	19955
294	1	19972
104	1	20118
2587	289	20134
233	4	20154
244	13	20220
19	2	20264
255	1	20338
137556	3	20352
10706	23	20448
3	1	20472
84	27	20580
3	1	20582
1444	58	20640
880	74	20704
288	8	20870
7240	727	20886
11	1	20967
430	8	20969
13024	2	21027
58	1	21068
386	8	21151
107	6	21182
271	3	21325
96	1	21373
60	1	21391
11650	1	21569
5445	65	21730
2	1	21769
7	1	21784
53	1	21951
2207	45	21980
677	1	22020
2844	2	22027
194	1	22038
351	3	22043
1368	23	22121
1079	1	22167
4	2	22171
9415	14	22247
303	1	22328
587	2	22340
8759	60	22346
6532	42	22438
450	16	22458
1142	28	22504
7044	1	22580
1338	6	22645
6134	8	22702
802	10	22746
2274	2	22868
3069	5	22877
5	1	22900
1184	36	22950
392	7	22984
654	1	23079
313	41	23102
47	5	23278
552	6	23282
1850	1	23297
15	1	23299
57423	645	23465
257	1	23469
8576	5	23484
501	3	23496
1	1	23569
74	1	23593
