#Field:count	sourceIPCount	endUserASN
14	1	24
1	1	159
108	1	202
1	1	306
10	1	523
5	1	1215
152	1	1818
41	5	3132
7	2	3456
186	24	4538
38	1	4609
520333	32	4713
1002	70	5972
1800	16	6079
59	2	6256
5	1	6404
26	15	6568
201	11	6739
56	12	8048
1	1	8517
16	1	8717
13	1	8758
80	31	9009
9	1	9051
97	2	9198
4493	145	9299
109	2	9484
41	8	9583
2	1	9937
15	1	10084
48	3	11014
3	1	12338
1898	1	12422
21	1	12714
6	1	12797
827	4	12942
3	1	13954
91	7	14080
12	1	14755
108	1	16082
1	1	16389
705	3	16504
9	1	16524
57	1	16525
86	1	17049
8	2	17429
1	1	17510
57	10	17665
7	2	17968
1095	10	18153
79	4	18434
2	1	19037
53	1	19076
84	1	19151
32429	1	20141
10429	76	22394
66	2	23088
16806	922	23679
2	1	23820
1	1	24084
57	23	24203
5	1	25417
38631	4	26072
15	1	26919
72	2	26937
1081	34	27947
31	3	28226
66	1	28680
10	1	29487
1913	20	30036
356	1	30356
23	1	30466
1084	17	30844
3	1	31727
47	3	32564
40	1	33556
7188	2	33662
9	1	37002
2	1	37123
76	4	38195
1	1	38673
697	18	38778
9	1	39369
12	1	42925
45	3	45079
2	1	45113
169	7	45528
4	1	45622
28	21	45669
27	6	45769
2	1	49100
29	1	51336
52	1	54755
10651	15	55653
68	1	55780
3291	123	56040
29	1	56478
186	2	58681
202	5	58717
53	23	59257
23	1	60876
3	2	131706
418	45	131749
356473	93	132203
213	4	132585
6	2	133070
2	1	133728
19	2	133811
1	1	133865
1493	7	134542
333	7	134760
96	5	134775
1	1	134928
40	4	135076
1	1	135776
266	1	136797
2	1	136886
153	9	136946
665	18	137363
3	3	137453
46	5	137883
1	1	138001
47	3	138079
6	2	138083
12	2	138123
117	3	138456
1	1	138474
233	18	138557
45	3	138694
2	1	138774
25	1	138882
487	2	139239
41	1	139296
1	1	139994
47	13	140122
359	1	140144
28	1	199675
23	1	199942
1	1	200284
13	1	201874
10	1	203689
19	5	262490
13	4	262493
310	6	262906
30	1	264363
45	1	264486
1	1	265632
25	3	265739
2	1	270587
9	1	327984
9	1	328003
16	1	328594
102	1	393846
6	1	394452
310	1	396292
462	1	397412
277	4	3
9	2	665
93	1	1423
46	1	1701
438	84	6400
3	1	6784
199	3	7049
515	53	7552
4165	895	7713
404	66	8003
218	1	8147
5416	218	8151
148	1	9021
14	4	9340
7565	8	9822
42	2	9824
5	1	11648
45	5	11664
992	1	11971
144	3	13110
367	1	13943
1	1	14209
9	1	14454
223729	8	14618
4	1	15048
21	1	15582
32	3	15704
359	79	17451
21	3	17501
71361	1012	17621
83156	378	17705
6	1	17750
39	1	18126
13	1	18271
949	24	18403
11512	2	18539
26	2	19443
146	1	21541
95	1	22899
674	6	23089
4483	2	23916
