18394880	43	3
18674688	43	1
18761216	43	1
18833664	43	1
18835968	43	10
19318784	56	5
22063872	43	1
22411264	43	1
24617216	30	221
24931072	22	147
24931328	43	9
25127424	22	24
25192960	43	21
25257984	43	4
25259264	22	30
25455872	11	42
41615104	6	3
42724608	6	22
50377728	11	37
50811392	56	4
86487040	7	705
88813568	22	2
98278144	22	3
98281216	22	8
98283776	22	3
98301440	22	1
98302464	22	9
136006144	7	15280
143185408	11	5
147872256	11	1
147877888	11	12
148038912	11	1
184616960	11	1
185439744	11	1
191103488	11	1
191299840	11	1
208391168	6	5
216883712	11	25
226352128	9	1
233466112	56	5
233487360	43	6
234955520	43	7
234963712	43	88
241312256	56	1
241318656	21	5
241382912	43	4
241401856	43	5
241577472	19	12
241577728	43	105
241579264	43	203
243859968	43	88
244144896	56	7
244151552	43	16
244161024	56	1
244188672	43	6
244210944	56	9
265020160	16	17
265021696	16	116
265163264	56	3
314130944	43	4
317186048	43	4
392795392	22	1
393880064	6	1
405866240	30	4
410138112	25	11
414337280	22	100
414404608	22	15
414467584	22	54
414500864	22	44
414697984	22	97
416622592	22	15
416816384	22	145
416868608	22	19
417686528	6	1
417841664	22	1
417844992	6	171
418081536	7	71
418082048	7	12
418459648	22	92
418461440	22	121
419355136	30	1
453654784	43	2
454185984	43	4
455274496	43	1
455486720	43	4
455511552	43	2
455536896	43	8
456001792	43	13
456556288	43	13
456844032	30	7
456887552	56	4
459025664	16	2
459939328	56	1
460312832	11	13
460884480	43	67
460896256	43	112
460901888	43	138
460941056	43	11
461102592	43	300
461583616	43	137
461651712	43	1
461677056	43	29
461728256	43	7
461766912	43	2
461777664	43	1
461789952	43	38
461836800	43	2
462665728	43	29
462906624	43	2
520582400	22	2
520583424	22	76
520786176	6	3
522945024	29	9
528028928	43	4
533961472	11	73
534585600	11	48
574710272	56	695
576900352	56	4
577002752	22	118
577194496	22	3
591996416	30	1
595880192	22	494
595881984	22	45
596086272	22	46
596474112	11	1
606434304	30	12
606451968	43	2
606455552	43	1
607011328	30	13
607389952	43	1
607402240	43	4
607433472	43	8
607434496	43	92
607436544	43	31
607436800	43	58
607591680	43	15
607606784	43	28
607612160	43	19
608476672	43	1
608559616	43	1
608663296	26	9
608685056	21	7
608692224	11	3
608753920	29	1
608754432	30	2
608849920	30	1
609035008	11	2
609210624	30	1
609211904	25	3
609220864	43	1
609252608	43	1
609290240	21	21
609379072	43	1
609598464	43	1
609856256	11	1
609884928	43	1
609891072	43	1
609893632	22	9
610054656	30	4
610059008	43	31
610161152	43	8
610175744	43	1
610446848	9	1
610846720	43	2
611393536	43	1
619595264	29	8
620716288	11	1
625622016	22	59
628065792	43	565
628081920	43	8
631695872	28	4
637444096	22	7
637470464	22	9
637478400	22	2
637502976	22	1
637517824	22	14
637521152	22	43
637527040	22	3
656415744	43	1
657220352	43	1
657738240	43	1
660858624	11	1
660986112	11	1
661115392	11	2
663752448	7	5
664384512	11	5
690045440	7	3
692328704	11	15
693040384	11	63
693103616	11	9
693133824	19	4
699340288	9	144
703185408	30	5
703514368	30	4
704644608	43	68
704878336	11	1
710206464	7	6
711057408	43	2
711531776	9	1
711620352	43	1
711636736	43	1
711907328	56	3
712650752	43	30
736140800	43	1164
736143360	43	62
736143872	43	441
736172800	43	24
736184832	43	675
736229632	43	19
736396032	43	799
736398848	43	5
736418816	43	8
736421376	43	9
736443648	43	181
736458240	43	89
736533248	43	1
736547840	11	77
736564480	43	46
736608512	43	121
736620800	43	191
736625664	43	74
736630784	43	121
736681216	43	67
736683264	43	15
736684544	43	162
736684800	43	12
736689152	43	276
736696320	43	32
736697600	43	10
736697856	43	59
736740608	43	146
736757248	43	106
736764672	43	55
736772352	43	33
736778496	43	17
736814848	43	43
736816896	43	24
736821504	43	27
736823808	43	115
736826880	43	241
736827136	43	119
736848384	43	15
736853504	43	42
736858880	43	168
736879616	43	13
736882688	43	54
737177600	43	88
737231104	43	97
737231360	43	442
737248768	43	6
737316096	43	171
737342976	43	2891
737396992	43	253
737480960	25	12
737518336	43	110
737525248	43	239
737624320	43	854
737640192	43	2328
737647616	19	15
737652480	43	59
737657344	43	2
737677568	11	2
737687296	43	312
737766400	43	323
737766912	43	30
737774848	43	1354
737862144	43	13
737905408	43	2
737914624	33	128
737915136	33	93
737915904	43	3
737934848	43	240
737943552	43	209
737950720	43	6
737951744	43	32
737954560	43	84
737968128	43	280
737982208	43	17
738072320	43	125
738082816	43	500
738167040	43	2
738169856	43	10
738170112	43	3
755498752	21	3
755719168	43	1
756967936	11	18
757090816	9	1
760909312	30	2
762330880	43	95
762347008	43	488
762468864	43	24
762640640	43	1
762698752	43	897
762868992	43	2
763144960	43	293
763279872	43	1
763310080	43	93
766315520	19	71
766368256	30	3
766711296	11	2
767190016	19	18
769743104	11	84
770218496	11	2
770319104	22	3
771371520	43	430
771587584	43	46
788092928	26	3
788926720	22	37
788927744	22	125
788933120	22	151
788933632	22	27
788934656	22	57
788989696	22	152
789081344	56	40
789087744	56	1
789096448	56	11
789112576	56	46
789113344	56	52
789116672	56	24
789137920	56	75
789142272	56	42
789146624	56	48
789169664	56	56
789170432	56	61
789175552	56	71
789175808	56	20
789176832	56	66
789415936	22	165
789421568	22	73
789453568	22	477
789454592	22	1066
789454848	22	991
789457664	22	774
789459456	22	829
789460480	22	534
789473792	22	990
789474304	22	906
789476864	22	1096
789481472	22	694
789485312	22	756
789553920	56	1
789800704	43	3
790142976	30	2
790178048	22	137
790180608	22	63
790181888	22	108
790235136	22	245
790254848	22	31
790291712	22	70
790295552	22	167
790296320	22	6
