#Field:count	sourceIPCount	endUserASN
2	1	306
230	2	1348
27049	1	1449
24	1	1451
4250	2	2134
967	39	2527
1349	16	2611
271249	1	2894
1330	31	3209
20	2	3292
85	2	3602
33	1	4410
61	14	4760
3182	51	5650
10275	123	6128
194	1	6296
72	2	6697
9	1	8334
125	2	8339
13	1	8346
18	1	8399
52	5	8437
1	1	8517
3	1	8675
21	1	8717
20	1	8983
6	2	9605
15	1	10021
337	11	10139
38	1	10370
21	4	10474
90	1	10695
449586	8	10967
266	9	13489
1	1	13684
6	1	13857
1	1	13878
61	1	13971
9	2	14652
12	1	14957
1	1	16322
516	3	16504
2	1	16811
75	1	17049
79	2	17211
19	2	17429
2	1	17539
10	1	18196
1948	76	18199
206	2	18530
93	1	19653
16	5	20207
30	3	20771
8	3	20860
49	2	21339
7088	45	22394
5	1	22992
163	1	23265
20	6	24109
13	9	24203
1697	1	24327
908	2	24331
2	2	24476
18	1	24921
93604	4	26072
92	1	26190
15	1	27980
2	1	28007
225	6	28545
280	1	30372
5	1	31252
8141	2	33662
8	1	35916
46	1	37125
1	1	37133
1300	79	38320
438	1	40154
48	8	41378
3	1	44735
19	8	45475
458	279	45609
4	1	45622
34616	16	46313
6	1	50158
7	1	51336
22605	11	51964
288	11	52363
14	1	52422
230	11	52458
4628	356	52958
2	1	52965
1090357	12150	55836
656451	6	56043
1777	87	56048
3	1	56054
1665	25	56068
13	1	57007
70	2	57743
38	5	58424
1427	33	58965
16	1	59816
22	2	63617
1	1	63835
7	3	63932
2309	12	131476
3	1	131686
10	5	132480
3	1	132567
1	1	132637
6249	57	132857
4	1	133119
27148	84	133524
12	1	133817
2099	1	134081
56	3	134301
899	4	134542
6	1	134756
13	2	134886
431	2	135132
192	1	135606
2	1	135718
2131	19	135817
42	2	136780
2	1	137969
8	3	138089
4	1	138362
68	2	139375
71	2	139409
111	7	139464
9	1	140616
48	3	140711
36	1	140847
46	16	199312
21	1	199675
6	1	201890
28	1	202561
2	2	203020
4407	10	203724
5	3	205110
22	4	207492
3	1	209799
1	1	213145
2	1	264446
15	1	265111
69	1	265668
1	1	268718
12	1	270419
4	1	328582
14	1	394301
457	1	397422
27	2	665
6	1	1463
7	2	1464
36	1	1468
79	2	2116
34116	11	2687
88433	2	3902
43405	19	4515
1	1	4785
15429	133	4847
4	2	4868
8	1	5394
34	2	6501
21	3	7590
38	1	8412
