#Field:count	sourceIPCount	endUserASN
2795	177	26
56141	52	808
7236	1	1751
2701022	2571	4755
194	10	5419
50	1	6118
529	9	6342
1	1	7408
36865	22	8375
878	6	9128
89062	385	12231
33014	2	12245
1	1	12871
15120	102	13428
10331	83	14234
4430	7	14723
118	5	14793
219	2	15526
30918	307	16178
204	2	16394
140222	4	16659
16	1	16706
190669	2481	17882
4715	69	18159
77	1	18294
6738	69	19151
107523	52	19994
591	5	20616
3079	2	21110
4599	4	21325
1224101	58638	22047
21	1	22204
48717	56	22402
1485	10	24810
317193	7216	25255
329	2	26192
19466	5	26638
35550	4	27240
330	1	27277
922	1	27349
4175	117	27855
1783	93	29687
2904	7	29918
3854	2	30266
30	1	30546
8	2	30681
964	12	30703
69825	6	30846
436	12	31275
32350	8345	31549
962	1	32144
22247	2	32487
2493	3	33999
5178	48	34133
3661	4	34400
2561	4	34508
841	18	34629
98	6	35714
195	8	35760
10742	2	36523
36351	2	36679
19	2	36975
2019	100	37309
3789	9	37398
1027	2	37434
38	1	37679
38	2	38328
499	2	38594
2734	4	39552
5439	44	39906
5882	372	40676
1579	10	40720
329	1	41894
6	1	42012
302	26	42626
2912	24	42638
152	1	42887
222	4	43047
834	21	43936
441	3	44019
1907	2	44129
27488	128	45410
1	1	45470
1134	31	46905
17	1	48890
1656	1	49043
154	3	49861
30	5	50161
115	2	50720
23864	275	52260
145	13	52684
218	1	53568
6300	2	53775
6370	1	55087
1	1	57071
132	1	57105
17922	413	58075
1184	6	58598
2830	54	59278
8372	160	59362
53	1	59831
1112	3	60214
84	2	61344
93	20	61728
90	1	62308
4679	4	62314
1353	3	62410
401	6	64294
1361	2	64550
1442	40	132752
15867	4	133006
23128	19	133075
1989	62	133692
514	2	134237
803	18	136014
399	3	137555
4	1	138361
50	17	138556
22	3	138884
73	4	139314
533	2	139776
125	1	139778
40	5	140541
774	25	141193
77	3	141432
2154	7	197133
21362	1	197323
132	1	198451
849	4	199020
1964	5	199937
3543	1	200861
38	1	200933
5003	2	203239
6	1	203542
486	19	203684
22	2	203944
846	3	204332
22489	1	205483
37	5	205881
10	1	209230
590	13	262372
152	23	262473
92222	1	262570
134	9	262745
802	47	263541
144	30	263742
