#Field:count	sourceIPCount	endUserASN
111142	3	1678
11	2	1853
1181	50	2527
31360	34	3356
269	30	4538
369	7	4565
75108	89	4755
105	14	4800
1	1	6412
29	2	6501
19	1	6621
19	3	6697
152	11	6739
186	25	6939
5	1	7670
2605	1	7687
4	1	7727
742	1	8047
865	20	8220
43	4	8447
4924	135	9245
1052	38	9422
2470	30	10024
5	3	10029
8143	116	11426
35	1	12119
3	1	12158
8	1	12177
21	1	12552
425	88	12735
24	5	12975
3	1	13237
9	1	13682
15	1	13717
7	1	15221
69	1	16229
56	1	16574
308	6	16735
167	1	16746
36	1	17049
124	10	17072
2	1	17073
3	1	17216
1873	337	17470
38064	924	17621
12	1	17645
17	1	17739
20	1	17968
18	12	18004
3	1	21412
1	1	21575
83	2	22438
4	1	23167
39696	2	23349
13745	953	23679
18024	113	24183
22778	1	25181
3	1	25716
11	1	25836
162	1	25929
12	1	25972
86	1	26123
6	1	26421
17476	4	26579
144	1	26615
8	1	27989
39	3	28538
2478	36	28548
144	1	33042
13	2	33132
345	2	33218
35	1	33548
3	1	34245
319	1	35549
12	1	36920
16	1	37053
32	2	37061
6	1	37125
9194	4	37282
19	2	37693
73	3	37919
323	7	37965
11138	2	37999
2340	113	38320
20	1	39577
39	1	42926
1	1	44735
6	1	45158
7561	9	45215
4832	144	45230
333	41	45716
57	12	45727
1273	1	45737
424	9	45758
20	6	45769
11	7	46562
2	1	46864
91	5	48638
15	6	55799
82984	94	56186
3212	6	56294
34	2	59361
79	3	60142
2833	1	60788
15	2	61138
4154	5	62058
12426	57	63927
49	2	63962
7	1	64072
45	4	131464
36	1	132145
1	1	132220
214	1	132240
808	34	132268
2	1	132434
1	1	132932
53	2	133297
11638	14	133399
1510	36	133590
35	1	133712
152	5	133887
4	3	133988
1	1	134161
3	1	134167
6	1	134315
62	4	134375
63	10	134382
18	2	134707
39	4	134860
15	2	135076
81	5	135232
1	1	135346
93	1	135606
2	1	135673
1	1	135691
181	2	136271
300	15	136384
57	12	136556
702	24	136969
19	2	137443
80	12	137554
1	1	137699
66	3	137952
25	1	138022
2	1	138100
1	1	138239
1	1	138311
57	13	138320
246	7	138384
2	1	138394
19	9	138621
373	1	138973
11	1	139296
30	5	139814
68	15	139992
7	1	201958
118	6	201984
24	1	205718
44	1	206170
1011	4	206841
564	1	208406
42	25	262150
4	1	262498
12	3	264857
8	1	265683
23	5	266769
1	1	267594
4	1	267686
3	1	268251
45	2	268899
68	4	269346
3	1	269827
6	1	269905
90	1	395461
322	7	71
4874	4	72
980589	136	122
4	1	220
160	3	490
174	6	494
157	6	703
834	6	721
95	1	786
2513	4	797
51	1	1294
47	5	1464
193	6	2688
136	10	3132
2740009	3	3379
11	1	3602
1080	2	4352
23	1	4473
14	1	4609
30	1	4693
2555	3	4725
2453	18	4770
59	2	4922
1443	29	5384
19	2	5410
28	4	6181
45	1	6223
1	1	6306
18	1	6419
245	13	6799
189	1	7194
189	12	7470
552	45	7552
20	1	7565
618	56	8452
4	1	8983
3	1	9216
1018	2	9509
123	1	9614
21	2	9650
26	4	9657
4480	7	9822
213	9	9824
12	1	9919
6	1	9931
3	1	10273
10	1	10362
6	1	10384
119	7	11342
1821666	2	11520
3	1	11560
986117	1	11685
10	1	11743
10	1	11888
3	1	12559
11	1	12895
1247	1	13570
55	1	14827
17377	1	14957
6	1	15354
277	5	15502
9	1	15659
1365	4	16086
161	1	16371
497	3	16623
1357	4	16713
