#Field:count	sourceIPCount	endUserASN
4666	90	20
6	1	22
128	2	57
20240	309	159
296	1	202
14	5	205
259	56	306
7	1	366
1726	59	494
311	35	523
9247	28	565
1334	224	1113
16826	174	1161
6776	7	1215
122	10	1416
53	16	1432
4	1	1457
314	2	1624
23	1	1633
11	1	1733
1	1	1778
3090	37	1818
221	54	1851
125	15	2259
11	1	2471
43	16	2606
141347	21	2615
686	28	2732
8605	8	2734
92506	51	2769
4838	383	3132
4642	13	3456
70	1	3458
254315	1237	3633
9	1	3648
7	2	3713
307	1	3730
12	3	3968
1001	5	4179
1223	32	4201
52	5	4284
1619	36	4307
94559	12021	4538
358	1	4539
285826	2269	4609
4956407	117303	4713
9	3	4729
33	8	4791
14	1	5015
44	6	5050
2590	30	5404
10195	104	5518
4	3	5627
285	3	5734
536	20	5972
142	4	6071
749875	6874	6079
15	4	6127
294968	44	6256
30823	3	6404
330	1	6434
3826	22	6561
22623	2782	6568
6531	422	6639
56095	1143	6677
373166	53588	6739
1475	34	6810
238	6	6911
33	3	7221
4256	3	7256
991	33	7268
7419	9	7314
21958	62	7332
3	1	7499
1784	1	7503
19	1	7517
1821	540	7672
7480	169	7684
1453	45	7774
3570	25	7799
73168	40049	8048
4107	48	8057
14383	701	8193
2273	201	8224
5795	31	8315
3404	14	8387
11543	26	8455
51708	7436	8517
7	2	8557
19322	1349	8559
4508	29	8570
14648	1304	8585
429	6	8592
166	6	8654
43990	691	8717
1412	16	8720
4945	5	8737
54113	2413	8758
7	3	8867
3	2	8911
268	4	8943
3970	35	9002
3917	135	9008
62868	6537	9009
191470	12006	9050
43689	660	9051
696	75	9112
147733	3637	9198
15215	5	9253
1657959	51175	9299
437	50	9335
40276	354	9484
2196	32	9578
82302	731	9583
468	12	9765
945	390	9781
46	1	9852
1778	111	9871
487	94	9875
257	42	9937
1290	493	9981
117916	101	10049
763	261	10052
7	4	10053
12	1	10084
13337	2	10150
817	55	10225
58	2	10235
32	8	10238
82	6	10355
163	3	10360
45	17	10506
4	1	10616
64985	121	10702
62670	1533	11014
8	1	11019
21	1	11120
1286	1	11222
2710	62	11287
29334	2	11326
149	1	11395
4121	98	11481
457	1	11553
2	2	11581
6	1	11593
6616	2	11656
103232	6	11687
7844	50	11693
993	50	11698
5417	20	11700
13	3	11713
2831	23	11736
101585	1	11744
18729	18	11993
3374	3	12074
10540	23	12089
3022	112	12127
48	4	12193
23765	363	12231
45	20	12258
4933	61	12332
117118	13653	12338
1058	7	12422
20	2	12498
499	19	12521
1725	1	12589
2	1	12592
