#Field:count	sourceIPCount	endUserASN
1391	5	100
962	3	161
260	3	186
563906	326	297
64	17	531
3	1	1466
4	1	1633
2638	259	1736
4070	1	1751
300	128	1756
1479	60	1886
11331	108	1955
10	1	2036
7744	3	2129
672363	9159	2510
204966	239	2544
47	16	2606
45773	35	2698
175207	432	2914
5011032	53227	3215
4551	86	3221
5276	186	3450
9375	1	3459
2453	1	3654
345	1	3730
1100	3	3769
487	4	4179
950058	9619	4181
3078	39	4307
366026	3070	4609
4995	788	4662
1457352	2820	4755
3905712	52097	4812
964	3	4857
50	2	5008
677480	3	5049
678	9	5050
423	9	5419
137715	623	5578
11	1	5638
1	1	5787
1698	420	5972
4	1	6118
50	4	6134
5308	29	6561
6966	52	6576
77	5	6693
20162	282	6758
834066	78459	6805
5906	2	7257
147	3	7448
573807	707	7474
17289	622	7477
251	2	7496
7	2	7517
33197	68	7616
1149	7	7643
5895	22	7799
9577	23	7819
2454	1	7885
18644	567	8014
900	20	8046
4952	52	8057
90191	1	8104
3398	18	8315
17985	19	8375
3619	17	8387
350	1	8414
2	1	8430
93860	6385	8445
3907	218	8448
6396	25	8455
473	3	8507
16838	1133	8585
834	6	8592
11	7	8618
15860	70	8641
11026	465	8728
1926	51	8751
628	3	8766
10109	59	8778
51	2	8801
3530	25	8819
648	18	8972
1	1	9064
2806	12	9074
262	6	9128
26725	5	9253
6320	5	9308
463	2	9468
59678	391	9484
183159	871	9583
3252	798	9615
631	13	9765
370	37	9937
103552	23	9989
120	1	10166
1334	27	10357
4	1	10616
630	48	10715
1	1	10975
213	3	11074
83	1	11120
4984	8	11167
17	1	11176
19528	173	11191
7237	41	11195
23283	2	11326
7782	22	11398
1412	5	11435
1670	2	11490
1	1	11581
25206	251	11666
20611	111	11693
3	1	11746
5151	476	11835
12174	101	11847
89	4	11902
372	1	11959
12	1	11964
3151	2	12074
914	1	12092
21553	132	12127
653	17	12183
8738	19	12222
227443	4	12229
46959	478	12231
163168	1432	12390
1238	13	12426
480	12	12466
1342	25	12571
2054	1	12589
96	1	12592
9677	91	12727
231	18	12872
3677	31	12907
17294	23	12942
40811	6070	12946
113528	68	13009
334311	8	13043
1567	246	13292
1420	6	13392
1281	1	13396
94	4	13555
7014	3	13581
204	10	13748
2455729	45	13778
749	12	13793
5507	40	13940
288	4	13992
136	4	14012
23998	2	14034
1	1	14105
13493	4	14110
5968	93	14234
54123	59	14235
126	1	14251
4463	2	14252
4	1	14290
3388	92	14374
35158	96	14477
1281	1	14591
164	1	14699
158	2	14734
179626	1	14799
16	6	14814
1	1	14966
56	1	14981
1131	8	15116
6672	3	15209
19	1	15260
12343	1	15303
557	1	15314
