CATNIX	193.242.98.0/24
CBIX	195.60.89.0/24
CDIX	103.30.172.0/23
CentralIX	185.1.60.0/24
CePIX.pl	193.8.61.192/26
CFiX (Central Florida Internet Exchange)	206.80.235.0/24
CGIX	197.255.191.0/24
Charlotte-IX	206.71.143.0/24
Charlotte (NC-IX)	206.83.138.0/24
CHC-IX (Christchurch NZ)	103.94.93.0/24
ChIX	206.41.110.0/24
CHIX-CH	185.1.59.0/24
CHIX-NZ	218.100.24.0/24
CHN-IX Beijing	106.48.34.0/23
CHN-IX Guangzhou	106.48.36.0/23
CHN-IX Shanghai	106.48.38.0/23
CINX	196.223.22.0/24
CINX Voice	196.223.23.0/24
CitranetIX	103.101.136.0/24
CIVIX	196.223.4.0/24
CIVIX	196.49.0.0/24
CIX	185.1.87.0/24
CIX-ATL	206.71.12.0/24
CIX Australia -	103.149.217.0/24
CIX KR	93.159.151.0/24
CIXP	192.65.185.0/24
CLOUD-IX EKT	31.28.29.0/24
CLOUD-IX KHA	31.28.26.0/24
CLOUD-IX KIEV	31.28.16.0/24
CLOUD-IX MSK	31.28.19.0/24
CLOUD-IX SPB	31.28.18.0/24
CLOUD-IX VRJ	31.28.17.0/24
CLOUDXCHANGE - CXC	103.225.171.0/24
CLOUDXCHANGE - CXC	103.225.173.0/24
CLOUDXCHANGE - CXC	218.100.74.128/25
CMH-IX	206.82.108.0/24
Cnean	101.251.128.0/22
CNIX	103.216.40.0/23
CN-IX-BJ	144.48.88.0/24
CN-IX-GZ	103.40.222.0/24
CN-IX-SH	144.48.89.0/24
CN-IX-SH	43.249.135.0/24
CNX	103.7.144.0/25
CNX-v4-1	103.7.144.0/24
CODIX	185.1.23.0/24
COIX	149.112.8.0/24
COIX	206.197.131.11/24
Community-IX	185.1.74.0/25
Community-IX	185.1.74.0/26
Community-IX.ch	185.1.105.0/24
Community-IX Vienna	185.1.147.0/24
CON-IX Brisbane	103.151.74.0/26
CON-IX Melbourne	103.151.74.128/26
CON-IX Sydney	103.151.74.64/26
Crimea IX	193.34.200.0/24
Crimea-IX	91.194.162.0/24
CRIX	200.107.83.0/24
CSIX	206.83.46.0/24
CSL Thai-IX Bangkok	27.254.196.0/23
CSL Thai-IX Malaysia	27.254.16.0/23
CSL Thai-IX Singapore	27.254.18.0/23
CyIX	193.22.30.0/24
CyrusOne IX Austin	198.32.145.0/24
CyrusOne IX Chicago	198.32.165.0/24
CyrusOne IX Dallas	198.32.130.0/24
CyrusOne IX Houston	198.32.96.0/23
CyrusOne IX Phoenix	198.32.98.0/24
CyrusOne IX San Antonio	198.32.164.0/24
CyrusOne IX Sterling	198.32.166.0/23
DACS-IX East	206.83.44.0/24
DACS-IX North	206.83.140.0/24
DACS-IX South	206.83.143.0/24
Dallas-IX	206.71.139.0/24
DATAIX	178.18.224.0/22
DATAIX	178.18.226.0/23
DATAIX	178.18.228.0/23
DATAIX	178.18.230.0/24
DATAIX	178.18.231.0/24
DATAIX	178.18.232.0/24
DATAIX	178.18.233.0/24
DATAIX	178.18.235.0/24
DataLine-IX	185.1.52.0/24
DCI-IX	103.142.206.0/23
DE-CIX ASEAN	103.162.254.0/24
DE-CIX Barcelona	185.1.119.0/24
DE-CIX Chennai	103.228.155.0/24
DE-CIX Chennai	103.228.174.0/24
DE-CIX Chicago	149.112.11.0/24
DE-CIX Dallas	206.53.202.0/24
DE-CIX Delhi	103.228.154.0/24
DE-CIX Delhi	103.27.168.0/24
DE-CIX Dusseldorf	185.1.170.0/23
DE-CIX Frankfurt	80.81.192.0/21
DE-CIX Hamburg	80.81.203.0/24
DE-CIX Istanbul	185.1.48.0/24
DE-CIX Johor Bahru	103.119.235.0/24
DE-CIX Kolkata	103.228.172.0/24
DE-CIX Kuala Lumpur	103.119.234.0/24
DE-CIX Lisbon	185.1.131.0/24
DE-CIX Madrid	185.1.192.0/23
DE-CIX Malaysia	103.119.232.0/23
DE-CIX Marseille	185.1.47.0/24
DE-CIX Mumbai	103.27.170.0/23
DE-CIX Munich	80.81.202.0/24
DE-CIX New York	206.82.104.0/22
DE-CIX Palermo	185.1.46.0/24
DE-CIX Singapore	103.159.71.0/24
Denver IX	149.112.18.0/24
DET-IX	209.124.52.0/23
DET-IX	209.124.52.0/24
Digital Realty Ashburn	206.83.10.0/24
Digital Realty Atlanta	198.32.132.0/24
Digital Realty Chicago	206.83.11.0/24
Digital Realty Dallas	206.126.114.0/24
Digital Realty New York	206.126.115.0/24
Digital Realty Phoenix	198.32.186.0/24
DINX	196.223.30.0/24
DIX	185.1.57.0/25
DIX	185.1.57.128/25
DIX	192.38.7.0/24
DIX	198.32.209.0/24
DIX-IE	202.249.2.0/24
DjIX	196.223.38.0/24
DN-IX	193.34.203.0/25
DO-IX	185.1.18.0/24
DominicaIX	206.53.141.0/27
DPE	218.100.23.0/24
DRF IX	206.197.210.0/24
DRF IX	206.197.210.0/25
DSIX	212.81.56.0/24
DTEL-IX	193.25.180.0/23
DTEL-IX	193.25.180.255/23
Duoala IX	196.49.38.0/24
DV-IX	185.1.118.0/24
Echigo-IX	58.84.254.0/23
ECIX-BER	194.9.117.0/24
ECIX-DUS	194.146.118.0/24
ECIX-FRA	62.69.146.0/23
ECIX-HAM	193.42.155.0/24
ECIX-MUC	194.59.190.0/24
EdgeIX - Adelaide	103.136.101.0/25
EdgeIX - Brisbane	103.136.103.0/24
EdgeIX - Darwin	103.136.100.0/25
EdgeIX - Hobart	103.136.100.128/25
EdgeIX - Melbourne	202.77.90.0/23
EdgeIX - Perth	103.136.102.0/24
EdgeIX - Sydney	202.77.88.0/23
EnfidhaIX	41.231.34.0/26
EPIX.Katowice	178.216.40.0/21
EPIX.Warszawa-KIX	89.46.144.0/21
Equinix Amsterdam	185.1.112.0/24
Equinix Ashburn	206.126.236.0/22
Equinix Atlanta	198.32.182.0/24
Equinix Barcelona	185.1.143.0/24
Equinix Barcelona	87.108.41.96/27
Equinix Bogota	208.115.128.0/24
Equinix Chicago	208.115.136.0/23
Equinix Dallas	206.223.118.0/23
Equinix Denver	198.32.114.0/24
Equinix Dublin	185.1.109.0/24
EQUINIX-ED-NYC	206.197.169.0/24
Equinix Frankfurt	185.1.102.0/24
Equinix Helsinki	185.1.86.0/24
Equinix Hong Kong	119.27.63.0/24
Equinix Hong Kong	36.255.56.0/22
Equinix Houston	198.32.135.0/24
Equinix IBX San Jose	206.223.116.0/24
Equinix IBX Secaucus	206.223.117.0/24
Equinix Lisbon	185.1.116.0/24
Equinix London	185.1.104.0/24
Equinix Los Angeles	206.223.123.0/24
Equinix Madrid	185.1.22.0/24
Equinix Manchester	185.1.101.0/24
Equinix Melbourne	183.177.61.0/24
Equinix Mexico	201.149.98.0/24
Equinix Miami	198.32.242.0/23
Equinix Milan	185.1.106.0/24
Equinix Muscat	185.1.191.0/24
Equinix New York	198.32.118.0/24
Equinix New York	198.32.119.0/24
Equinix NY	206.223.131.0/24
Equinix Osaka	203.190.227.0/24
Equinix Palo Alto	198.32.175.0/24
Equinix Palo Alto	198.32.176.0/24
