slash8	unannouced	private	announced
135	0.601089477539063	0	0.398910522460938
134	0.273544311523438	0	0.726455688476563
133	0.36962890625	0	0.63037109375
132	0.0946807861328125	0	0.905319213867188
131	0.208847045898438	0	0.791152954101563
130	0.311874389648438	0	0.688125610351563
129	0.230392456054688	0	0.769607543945313
128	0.16534423828125	0	0.83465576171875
127	0	1	0
126	0.112579345703125	0	0.887420654296875
125	0.017578125	0	0.982421875
124	0.0914459228515625	0	0.908554077148438
123	0.123672485351563	0	0.876327514648438
122	0.057891845703125	0	0.942108154296875
121	0.0447540283203125	0	0.955245971679688
120	0.058135986328125	0	0.941864013671875
119	0.0724334716796875	0	0.927566528320313
118	0.08270263671875	0	0.91729736328125
117	0.0567779541015625	0	0.943222045898438
116	0.206344604492188	0	0.793655395507813
115	0.127685546875	0	0.872314453125
114	0.109573364257813	0	0.890426635742188
113	0.0400238037109375	0	0.959976196289063
112	0.0227813720703125	0	0.977218627929688
111	0.053466796875	0	0.946533203125
110	0.0454254150390625	0	0.954574584960938
109	0.0156402587890625	0	0.984359741210938
108	0.188552856445313	0	0.811447143554688
107	0.217437744140625	0	0.782562255859375
106	0.18682861328125	0	0.81317138671875
105	0.0965423583984375	0	0.903457641601563
104	0.032196044921875	0	0.967803955078125
103	0.439895629882813	0	0.560104370117188
102	0.322219848632813	0	0.677780151367188
101	0.212081909179688	0	0.787918090820313
100	0.0205078125	0.25	0.9794921875
99	0.0902862548828125	0	0.909713745117188
98	0.124740600585938	0	0.875259399414063
97	0.0220794677734375	0	0.977920532226563
96	0.0446624755859375	0	0.955337524414063
95	0.0239105224609375	0	0.976089477539063
94	0.027496337890625	0	0.972503662109375
93	0.0182342529296875	0	0.981765747070313
92	0.066192626953125	0	0.933807373046875
91	0.041229248046875	0	0.958770751953125
90	0.0378265380859375	0	0.962173461914063
89	0.0499114990234375	0	0.950088500976563
88	0.01678466796875	0	0.98321533203125
87	0.0169830322265625	0	0.983016967773438
86	0.0518341064453125	0	0.948165893554688
85	0.0379791259765625	0	0.962020874023438
84	0.0084686279296875	0	0.991531372070313
83	0.0366363525390625	0	0.963363647460938
82	0.025909423828125	0	0.974090576171875
81	0.0693817138671875	0	0.930618286132813
80	0.02130126953125	0	0.97869873046875
79	0.011383056640625	0	0.988616943359375
78	0.00555419921875	0	0.99444580078125
77	0.0236053466796875	0	0.976394653320313
76	0.127243041992188	0	0.872756958007813
75	0.0534515380859375	0	0.946548461914063
74	0.1102294921875	0	0.8897705078125
73	0	0	1
72	0.0929412841796875	0	0.907058715820313
71	0.0586090087890625	0	0.941390991210938
70	0.03839111328125	0	0.96160888671875
69	0.099273681640625	0	0.900726318359375
68	0.08221435546875	0	0.91778564453125
67	0.038818359375	0	0.961181640625
66	0.04083251953125	0	0.95916748046875
65	0.0798797607421875	0	0.920120239257813
64	0.0747222900390625	0	0.925277709960938
63	0.0082855224609375	0	0.991714477539063
62	0.061920166015625	0	0.938079833984375
61	0.0357513427734375	0	0.964248657226563
60	0.01239013671875	0	0.98760986328125
59	0.280105590820313	0	0.719894409179688
58	0.026123046875	0	0.973876953125
57	0	0	1
56	0.991943359375	0	0.008056640625
55	0	0	1
54	0.43603515625	0	0.56396484375
53	0	0	1
52	0.0578460693359375	0	0.942153930664063
51	0.706756591796875	0	0.293243408203125
50	0.04302978515625	0	0.95697021484375
49	0.11279296875	0	0.88720703125
48	1	0	0
47	0.229843139648438	0	0.770156860351563
46	0.0308685302734375	0	0.969131469726563
45	0.245162963867188	0	0.754837036132813
44	0	0	1
43	0.913436889648438	0	0.0865631103515625
42	0.305511474609375	0	0.694488525390625
41	0.088897705078125	0	0.911102294921875
40	0.00067138671875	0	0.99932861328125
39	0.0381317138671875	0	0.961868286132813
38	0	0	1
37	0.0399169921875	0	0.9600830078125
36	0.08123779296875	0	0.91876220703125
35	0.27203369140625	0	0.72796630859375
34	0.5	0	0.5
33	1	0	0
32	0	0	1
31	0.0350189208984375	0	0.964981079101563
30	1	0	0
29	0.999755859375	0	0.000244140625
28	1	0	0
27	0.0601043701171875	0	0.939895629882813
26	1	0	0
25	0.99981689453125	0	0.00018310546875
24	0.0244903564453125	0	0.975509643554688
23	0.278213500976563	0	0.721786499023438
22	1	0	0
21	1	0	0
20	0.695022583007813	0	0.304977416992188
19	1	0	0
18	0.59228515625	0	0.40771484375
17	0	0	1
16	0.99151611328125	0	0.00848388671875
15	0.674331665039063	0	0.325668334960938
14	0.055511474609375	0	0.944488525390625
13	0.61865234375	0	0.38134765625
12	0	0	1
11	1	0	0
10	0	1	0
9	0.999984741210938	0	1.52587890625e-05
8	0.05706787109375	0	0.94293212890625
7	1	0	0
6	0.962203979492188	0	0.0377960205078125
5	0.0542755126953125	0	0.945724487304688
4	0	0	1
3	0.601470947265625	0	0.398529052734375
2	0.0051116943359375	0	0.994888305664063
1	0.077728271484375	0	0.922271728515625
0	0	1	0
