4b42 Internet Exchange Point	185.1.125.0/24
RED-IX	185.1.13.0/24
REDIX Chennai	103.129.155.0/24
Remki Internet Exchange (RIX)	103.111.7.0/24
REUNIX	194.57.253.128/27
Rheintal IX	91.232.229.0/24
Richmond-IX	206.71.9.0/25
RINEX	196.223.12.0/24
RINEX	196.223.12.128/25
RIX	195.130.211.0/26
R_iX	91.194.218.0/24
RIX (RYUKYUIX)	103.95.163.0/24
RO-IX	185.1.150.0/24
RO-IX	45.13.136.0/24
RomandIX	185.1.93.0/24
RoNIX	185.1.103.0/24
RoNIX	217.156.113.0/24
RTIX	213.184.52.0/24
RVA-IX	206.53.137.0/24
RZ-IX	185.1.42.0/24
Sacramento-IX	206.71.13.0/24
SAIX	185.1.43.0/24
SAIX	212.26.66.0/23
SAIX Saudi Arabia	212.138.252.0/23
SAT-IX	206.83.14.0/24
SBIX	139.28.99.0/28
SBIX	185.1.135.0/24
SCL-IX Chile	170.246.67.0/24
SD-NAP	198.17.46.0/24
Sea-IX	91.240.225.0/24
Sejong Neutral-IX	203.255.114.0/23
SENIX	196.60.40.0/24
SerinIX IX	195.135.199.0/24
SFINX	193.54.79.0/24
SFINX	194.68.129.0/24
SFIX	198.32.129.0/24
SFMIX	206.197.187.0/24
SFO-IX	91.221.180.0/23
SGIX	103.16.102.0/23
SH-IX	185.1.15.0/24
Sibir-IX	84.22.159.0/24
SISPA	196.223.37.0/24
SIX	193.2.141.0/24
SIXP Gambia	196.223.34.0/24
SIXP Sudan	196.223.20.0/24
SIX Seattle	206.81.80.0/23
SIX Seattle (Jumbo)	206.81.82.0/23
SIX SI	91.220.194.0/24
SIX.SK	192.108.148.0/24
SIX.SK Košice	192.108.145.0/24
SIX Stavanger	185.1.65.224/27
SJIX	206.80.239.0/24
SLIX	203.143.4.0/27
SLiX	208.169.85.248/29
SLIX - Salt Lake City Internet Exchange	204.228.158.0/24
SMILE-IXP	195.246.227.0/24
SNAP	206.123.24.0/24
SOLIX	193.110.12.0/24
SOLIX	193.110.13.0/24
SOX	198.32.141.0/24
SOX Serbia	185.1.27.0/24
SPACE-IX	46.22.50.0/24
Speed-IX	185.1.95.0/24
SR-IX	185.54.252.0/24
StarLight	206.220.241.0/24
STHIX	194.50.181.128/25
STHIX - Copenhagen	185.1.88.0/24
STHIX - Gothenburg	185.1.82.0/24
STHIX - Stockholm	192.121.80.0/24
STHIX - Sundsvall	185.1.142.0/24
STIX	185.1.124.0/24
STLIX	206.83.12.0/24
SUPRnet	206.53.201.0/24
SwissIX	91.206.52.0/23
SYMC-IX Bangkok	103.14.9.0/24
TahoeIX	206.41.109.0/24
TaipeiGigaPoP	103.130.252.0/22
TaipeiGigaPoP	202.169.160.0/20
TampaIX	198.32.198.0/24
T-CIX	185.1.40.0/24
Terremark	193.227.132.0/24
Texas GigaPO	198.32.236.0/24
TGIX	196.60.42.0/24
Thinx	212.91.0.0/22
TH-IX	61.19.60.0/23
Tirol-IX	185.1.31.0/24
TIX	193.42.140.0/23
TIX	194.116.188.0/23
TIX	194.42.48.0/24
TIX Tanzania - Arusha	196.223.6.0/25
TIX Tanzania - Dar es Salaam	196.223.5.0/24
TIX Tanzania - Dodoma	196.60.50.0/24
TIX Tanzania - Mwanza	196.60.0.0/24
TIX Tanzania - Zanzibar	196.60.48.0/24
TIX Tromsø	185.1.65.192/27
TLLIX	195.137.179.0/24
TN-IX	185.1.64.0/24
TOP-IX	194.116.96.0/24
TorIX	206.108.34.0/23
TOUIX	91.213.236.0/24
TPAIX	206.108.114.0/24
TPIX	195.149.232.0/23
TP-IX	206.223.125.0/24
TPIX-TW	203.163.222.0/24
TransACT IX	218.100.50.0/24
TransIX Network	103.42.120.0/22
TransIX Network	58.147.184.0/21
TRDIX Trondheim	185.1.65.160/27
TRDIX Trondheim	193.156.93.0/24
TREX	195.140.192.0/24
TSK-IX	82.117.167.0/25
TTIX	181.188.0.0/24
TTIX2	131.72.77.240/28
TunIXP	41.231.21.0/24
TWIX	210.62.255.0/24
UAE-IX	185.1.8.0/24
UA-IX	185.1.50.0/23
UA-IX	195.35.65.0/24
UEPG Internet Exchange	45.186.143.0/24
UEPG IX	143.208.160.0/24
UIX	196.223.25.0/25
UIXP	196.223.25.0/24
ULN-IX	185.1.19.0/24
UNIFI-IX	185.167.180.0/22
United Peering - UP-IXP	185.1.54.0/24
UNM-Exch Canada-West	192.34.26.0/23
UNY-IX	101.203.169.0/24
UP-IXP IPv6	2001:7f8:95::/48
VANIX	206.41.104.0/24
VarnaIX	185.1.137.0/24
Vegas-IX	206.71.8.0/25
Vegas-IX	206.71.8.128/25
VIX	193.203.0.0/23
VIXP	185.1.154.0/24
VIX.VU	103.25.228.0/24
VNIX-DN	218.100.60.0/24
VNIX-HCM	218.100.14.0/24
VNIX-HN	218.100.10.0/24
VSIX	95.140.128.0/23
VSIX	95.140.130.0/23
WAF-IX	45.222.254.0/24
WAF-IX, Lagos	196.60.58.0/24
W-IX	193.106.112.0/23
WIX	195.85.195.0/24
WIX-NZ	202.7.0.0/23
WPGIX	206.126.109.0/24
WRIX	212.127.90.0/23
XP-London IX	217.79.160.0/23
YAR-IX	91.203.127.0/24
YEGIX	206.53.140.0/24
YJSNPIX	103.86.68.128/27
YRIX	206.126.116.0/24
YXEIX	206.71.11.0/24
YYCIX	206.126.225.0/24
